judul,sub_judul,isi,tanggal,jam,kategori,link,keyword
"Belum Sepekan Prabowo Canangkan Target Zero Accident, Keracunan Makanan MBG Terulang",210 siswa TK hingga SMP di Kota Bogor mengalami gejala keracunan usai konsumsi MBG pada 11 Mei 2025. Belum sepekan Prabowo bilang zero accident.,"TEMPO.CO,Jakarta-PresidenPrabowoSubianto mengeluarkan arahan tegas kepada Badan Gizi Nasional (BGN) dan seluruh jajaran terkait untuk meningkatkan ketelitian serta ketepatan dalam pelaksanaan program Makan Bergizi Gratis (MBG). Instruksi ini disampaikan akibat maraknya laporan kasus dugaan keracunan MBG di berbagai daerah sejak program ini diterapkan pada awal 2025.

Arahan tersebut disampaikan Prabowo dalam rapat koordinasi terbatas yang berlangsung pada Sabtu, 3 Mei 2025, di Hambalang, Kabupaten Bogor, Jawa Barat. Rapat tersebut juga dihadiri oleh Menteri Pertahanan Sjafrie Sjamsoeddin, Menteri Sekretaris Negara Prasetyo Hadi, dan Sekretaris Kabinet Teddy Indra Wijaya.

Baca Juga:Akuntabilitas Kunci Keberhasilan Makan Bergizi Gratis",17 Mei 2025,07.46 WIB,Politik,https://www.tempo.co/politik/belum-sepekan-prabowo-canangkan-target-zero-accident-keracunan-makanan-mbg-terulang--1463710,makan bergizi gratis
3 Penyebab Keracunan Makanan di Program Makan Bergizi Gratis Versi BPOM,BPOM menyebut ada tiga penyebab keracunan dalam program Makan Bergizi Gratis (MBG). Apa saja?,"TEMPO.CO,Jakarta- Kepala Badan Pengawas Obat dan Makanan atauBPOMTaruna Ikrar menyebut ada tiga penyebabkeracunan makanandalam programMakan Bergizi Gratis. Temuan ini terungkap setelah BPOM mengidentifikasi 17 kejadian luar biasa keracunan yang berkaitan dengan program tersebut dan kasus-kasus itu tersebar di 10 provinsi.

Adapun ketiga penyebab keracunan dalam program MBG di antaranya karena kontaminasi, pertumbuhan dan perkembangan bakteri, serta kegagalan pengendalian keamanan pangan. Hal itu kemudian menjadi bahan evaluasi guna perbaikan program.

""Dan dengan konteks tersebut, kontaminasi yang terlihat, yaitu ada kontaminasi awal pangan dengan sumber kontaminasi bahan mentah, lingkungan pengolah/penjamin,"" kata Taruna saat rapat bersama DPR di Jakarta, Kamis, 15 Mei 2025 seperti dikutip Antara.

Taruna mengatakan, untuk pertumbuhan dan perkembangan bakteri disebabkan karena suhu dan waktu, kondisi makanan, serta proses pengolahan. Contohnya, kata dia, ada makanan yang dimasak terlalu cepat namun distribusinya tertunda, sehingga saat dikonsumsi oleh anak-anak, makanan tersebut telah terkontaminasi dan menyebabkan keracunan.

""Kemudian ada hal yang perlu kita perhatikan betul tentang kegagalan pengendalian keamanan pangan yang hubungannya dengan hygiene-sanitasi. Nah ini perlu kami jelaskan karena sebagian mungkin dapurnya itu perlu dievaluasi, perlu diperbaiki,"" katanya.",16 Mei 2025,12.56 WIB,Pendidikan,https://www.tempo.co/politik/3-penyebab-keracunan-makanan-di-program-makan-bergizi-gratis-versi-bpom-1454012,makan bergizi gratis
Kata Badan Gizi Soal Belum Melibatkan BPOM di Makan Bergizi Gratis,BGN mengklaim akan memperkuat kerja sama dengan BPOM ihwal pengawasan Program Makan Bergizi Gratis.,"TEMPO.CO,Jakarta- KepalaBadan Gizi NasionalDadan Hindayana mengatakan akan memperkuat kerja sama dengan Badan Pengawas Obat dan Makanan atauBPOMserta Menteri Kesehatan untuk mengawasi programMakan Bergizi Gratis. ""Khususnya tentang kualitas dan mutu pangan serta penanggulangan kejadian luar biasa,"" kata Dadan melalui pesan singkat pada Kamis, 15 Mei 2025.

Dadan berujar saat ini Badan Gizi sudah memiliki nota kesepahaman dengan BPOM terkait koordinasi pengawasan program makan bergizi gratis. Selain itu, kata dia, pengawasan tentang keamanan pangan juga diatur dalam Peraturan Pemerintah Nomor 86 Tahun 2019.

Dalam peraturan tersebut, Dadan menyebut pengawasan terhadap pemenuhan persyaratan keamanan pangan, mutu pangan, dan gizi pangan untuk pangan olahan siap saji dilaksanakan oleh BPOM dan bupati/wali kota sesuai kewenangannya. Dia menilai BPOM juga memiliki mandat pengawasan pangan, termasuk MBG, melalui PP Nomor 86 Tahun 2019 itu.

Dadan berujar BPOM juga patut mendapat dana lebih untuk melaksanakan pengawasan Program MBG. ""Dalam program MBG ini BPOM perlu mendapatkan porsi anggaran tambahan untuk dukungan program MBG,"" ucap Dadan.

Kepala BPOM Taruna Ikrar sebelumnya mengungkapkan Badan Gizi Nasional belum melibatkan secara penuh lembaganya dalam mengawasi keamanan program unggulan Presiden Prabowo itu. Padahal, kata Taruna, BPOM dan Badan Gizi memiliki nota kesepahaman untuk pengawasan program makan gratis untuk siswa sekolah tersebut.",15 Mei 2025,21.24 WIB,Politik,https://www.tempo.co/politik/kata-badan-gizi-soal-belum-melibatkan-bpom-di-makan-bergizi-gratis-1444242,makan bergizi gratis
BPOM Belum Dilibatkan Mengawasi Produksi Makan Bergizi Gratis,,,15 Mei 2025,19.00 WIB,Video,https://www.tempo.co/video/arsip/bpom-belum-dilibatkan-mengawasi-produksi-makan-bergizi-gratis-1444198,makan bergizi gratis
BPOM Catat 17 Kejadian Luar Biasa Kasus Keracunan MBG sejak Januari,BPOM mencatat ada 17 kejadian luar biasa keracunan MBG di sepuluh provinsi yang teridentifikasi sejak Januari 2025.,"TEMPO.CO,Jakarta- Badan Pengawas Obat dan Makanan (BPOM) mencatat 17 kejadian luar biasa terkait dengan keracunan Makan Bergizi Gratis (MBG) sejak peluncuran program tersebut pada 6 Januari 2025. Kepala BPOM Taruna Ikrar mengatakan kejadian-kejadian itu terjadi di sepuluh provinsi Indonesia.

Pilihan editor:Desain Ulang Gudang Amunisi TNI Setelah Ledakan Garut

Taruna menyampaikan catatan tersebut dalam rapat bersama Komisi IX DPR RI pada Kamis, 15 Mei 2025. Kejadian keracunan makanan itu terjadi dalam lima bulan terakhir. ""Menurut data yang kami miliki ada 17 kejadian luar biasa keracunan pangan terkait dengan MBG di sepuluh provinsi yang teridentifikasi,"" kata Taruna di kompleks parlemen Senayan, Jakarta.

Taruna mengatakan sejumlah penyebab keracunan pangan dari program yang diluncurkan Presiden Prabowo Subianto itu. Salah satunya, kata dia, adalah kontaminasi pangan yang terjadi kepada bahan baku mentah.

Kontaminasi itu kemungkinan terjadi saat pengolahan atau penyimpanan makanan. ""Dengan sumber kontaminasi bahan mentah di lingkungan pengelola, penjamin, dan kami belajar dari kondisi ini supaya berikutnya tidak terjadi lagi,"" ucap dia.",15 Mei 2025,17.48 WIB,Pendidikan,https://www.tempo.co/politik/bpom-catat-17-kejadian-luar-biasa-kasus-keracunan-mbg-sejak-januari-1444155,makan bergizi gratis
BPOM Ungkap Penyebab Keracunan pada Menu MBG,"Berdasarkan data per 6 Januari hingga 12 Mei 2025, BPOM mencatat ada 17 insiden keracunan dalam program Makan Bergizi Gratis (MBG) di 10 provinsi","TEMPO.CO,Jakarta-Badan Pengawas Obat dan Makanan (BPOM) mengidentifikasi sejumlah faktor utama yang menjadi penyebab kasus keracunan dalam program Makan Bergizi Gratis (MBG). Berdasarkan data per 6 Januari hingga 12 Mei 2025, BPOM mencatat ada 17 insiden keracunan MBG di 10 provinsi.

Kepala BPOM Taruna Ikrar menjelaskan penyebab keracunan MBG disebabkan kontaminasi sejak awal, baik pada bahan makanan mentah maupun saat proses pengolahan dan penyimpanan. Dia mengatakan lingkungan tempat pengelolaan pangan juga turut berkontribusi terhadap potensi kontaminasi ini.

Menurutnya, kondisi ini perlu menjadi pembelajaran agar kejadian serupa tidak kembali terjadi. “Dengan sumber kontaminasi bahan mentah lingkungan pengelola, kejadian keracunan ini diharapkan tidak terjadi lagi,"" kata Ikrar dalam rapat dengar pendapat bersama Komisi IX DPR, Kamis, 15 Mei 2025.

Penyebab kedua, kata Ikrar, yakni pertumbuhan bakteri akibat penyimpanan makanan dalam kondisi yang tidak sesuai. Waktu dan suhu menjadi faktor penting yang memengaruhi berkembangnya mikroorganisme penyebab keracunan.

Ia mencontohkan, ada makanan yang dimasak terlalu cepat tetapi distribusinya lambat. Hal ini memungkinkan bakteri berkembang dan menimbulkan keracunan, khususnya pada anak-anak.",15 Mei 2025,13.23 WIB,Bisnis,https://www.tempo.co/ekonomi/bpom-ungkap-penyebab-keracunan-pada-menu-mbg-1444010,makan bergizi gratis
Desa Panongan Jadi Percontohan Nasional BUMDes Pengelola Dapur MBG,"Desa Panongan, Kecamatan Panongan, Kabupaten Tangerang menjadi percontohan nasional Badan Usaha Milik Desa (BUMDes) dalam pengelolaan SPPG.","TEMPO.CO,Tangerang- Desa Panongan, Kecamatan Panongan, Kabupaten Tangerang, menjadi percontohan nasional Badan Usaha Milik Desa (BUMDes) dalam pengelolaan dapur Satuan Pelayanan Pemenuhan Gizi (SPPG) untuk programMakan Bergizi Gratis.

Peresmian dapurSPPGini dilakukan langsung  Menteri Desa dan Pembangunan Daerah Tertinggal Yandri Susanto bersama Bupati Tangerang Moch. Maesyal Rasyid pada Rabu, 14 Mei 2025.

Bupati Tangerang Moch. Maesyal Rasyid mengatakan peresmian dapur SPPG Desa Panongan ini menandai langkah kongkret pemerintah dalam mendukung program Makan Bergizi Gratis (MBG) yang dicanangkan Presiden Prabowo Subianto.

""Kami mengucapkan terima kasih atas dipilihnya Desa Panongan sebagai lokus percontohan nasional kolaborasi Bumdes dan Koperasi Merah Putih dalam pelaksanaan program MBG,"" kata Maesyal.

Terpilihnya Desa Panongan sebagai pilot proyek nasional merupakan kolaborasi antara BUMDes danKoperasi Desa Merah Putihuntuk mendukung program Makan Bergizi Gratis.",14 Mei 2025,17.01 WIB,Bisnis,https://www.tempo.co/ekonomi/desa-panongan-jadi-percontohan-nasional-bumdes-pengelola-dapur-mbg-1434098,makan bergizi gratis
Ini Penyebab Keracunan Makan Bergizi Gratis di Bogor,Penyebab ratusan siswa dari TK-SMA keracunan Makan Bergizi Gratis adalah adanya bakteri salmonella dan E. Colli dalam bahan baku yang digunakan.,"TEMPO.CO,Jakarta- Kepala Badan Gizi Nasional (BGN) Dadan Hindayana membeberkan penyebab ratusan siswa di Bogor keracunan seusai menyantap menuMakan Bergizi Gratis(MBG) yang disajikan di sekolah. Per 11 Mei 2025, terdapat 210 siswa yang dilaporkan mengalami gejala keracunan.

Pilihan editor:Mengapa Kejaksaan Meminta Pengamanan kepada TNI, Bukan Polri?

Mulanya, Dadan menjelaskan bahwa insiden keracunan di Bogor ini merupakan kasus baru. Berbeda dengan yang pernah terjadi di Cianjur atau daerah lainnya, gejala keracunan baru dirasakan berselang sehari hingga dua hari setelah siswa menyantap makanan MBG.

""Jadi terjadislow reaction. Makannya Selasa, tapi reaksinya baru diketahui rabu Kamis dan Jumat,"" ujar Dadan saat jumpa pers di Gedung Ombudsman, Jakarta, Rabu, 14 Mei 2025.

Setelah dilakukan uji laboratorium pada sampel makanan, diketahui bahwa penyebab ratusan siswa dari TK hingga SMA itu keracunan adalah adanya bakterisalmonelladanE. Collidalam bahan baku yang digunakan seperti telur dan sayuran.",14 Mei 2025,12.35 WIB,Pendidikan,https://www.tempo.co/politik/ini-penyebab-keracunan-makan-bergizi-gratis-di-bogor--1433980,makan bergizi gratis
BGN Bilang Tanggung Biaya Pengobatan Siswa Keracunan MBG di Bogor,Tigor menyebut BGN tidak akan segan memutus kerja sama dengan pemasok bahan makanan tersebut apabila terbukti ada ketidaksegaran makanan MBG.,"TEMPO.CO,Jakarta-Deputi Bidang Sistem Tata Kelola Badan Gizi Nasional (BGN) Tigor Pangaribuan mengatakan pemerintah akan menanggung seluruh biaya pengobatan ratusan siswa yang keracunan usai menyantap makan bergizi gratis (MBG) di Bogor, Jawa Barat.

""Korban diberikan asuransi untuk membayar biaya kesehatannya dan kami bekerja sama dengan puskesmas menanggung seluruh biaya pengobatan itu,"" ujar dia melalui keterangan tertulis, dikutip pada Selasa, 13 Mei 2025.

Sebagai bentuk evaluasi, Tigor mengatakan pihaknya juga telah melakukan uji laboratorium guna memastikan penyebab keracunan, dan memberikan teguran keras kapada Kepala Satuan Pelayanan Pemenuhan Gizi (SPPG) setempat. BGN juga akan memberikan pelatihan ulang kepada seluruh pegawai di SPPG tersebut.

""Terutama bagian penjamah makanan, guna mencegah tidak terjadi lagi keracunan akibat makan bergizi gratis,"" tuturnya.

Tak hanya itu, Tigor menyebut BGN tidak akan segan memutus kerja sama dengan pemasok bahan makanan tersebut apabila terbukti ada ketidaksegaran makanan atau kejanggalan lainnya.",13 Mei 2025,16.05 WIB,Pendidikan,https://www.tempo.co/politik/bgn-bilang-tanggung-biaya-pengobatan-siswa-keracunan-mbg-di-bogor-1424104,makan bergizi gratis
BGN Klaim Program MBG bakal Membuka 90 Ribu Lapangan Kerja untuk Sarjana,BGN menyebut program MBG berpeluang membuka hingga 90 ribu lapangan kerja.,"TEMPO.CO,Jakarta- Badan Gizi Nasional (BGN) menyebut pelaksanaan Program Makan Bergizi Gratis atauMBGberpeluang membuka lapangan kerja. Deputi Bidang Sistem dan Tata Kelola BGN Tigor Pangaribuan memproyeksikan MBG akan membuka hingga 90 ribulowongan kerjauntuk ditempatkan di 30 ribu Satuan Pelayanan Pemenuhan Gizi (SPPG) di seluruh Indonesia.

""Jadi, tadi kepala unit (SPPG), nah itu ada 30 ribu yang bekerja. Otomatis sudah kami rekrut 30 ribu sarjana (SPPI) di Indonesia untuk jadi kepala. Jadi, 90 ribu lapangan pekerjaan terbuka buat sarjana-sarjana yangfresh graduate,"" kata dia dalam keterangan tertulis, dikutip Selasa, 13 Mei 2025.

Tigor menjelaskan di dalam struktural SPPG, ada tiga lulusan sarjana yang dibutuhkan, baik untuk mengisi posisi sebagai Kepala SPPG, ahli gizi, hingga akuntan dengan rentang usia 22 hingga 30 tahun.

""Jadi, satu ahli gizi per satu SPPG, berarti 30 ribu ahli gizi nanti. Plus satu lagi nanti itu akuntan lulusan akuntansi per satu satuan pelayanan. Itulah yang nanti ada di seluruh provinsi di Indonesia, sebanyak 30 ribu,"" tutur dia.

Dengan terbukanya lapangan pekerjaan, menurut Tigor, program MBG juga akan menggerakan perekonomian nasional. Dia menilai keberadaan SPPG untuk program MBG membuat para petani menjadi semangat, lantaran hasil produksi petani dibutuhkan sebagai bahan baku.",13 Mei 2025,16.05 WIB,Bisnis,https://www.tempo.co/ekonomi/bgn-klaim-program-mbg-bakal-membuka-90-ribu-lapangan-kerja-untuk-sarjana-1424103,makan bergizi gratis
Alasan Mengapa Efisiensi Anggaran Berlanjut ke 2026,Kebijakan efisiensi anggaran yang akan diterapkan dalam penyusunan APBN 2026 didasarkan pada sejumlah pertimbangan strategis.,"TEMPO.CO,Jakarta- Kebijakanefisiensi anggaranmasih akan berlanjut pada tahun anggaran 2026. Hal ini disampaikan Menteri Keuangan Sri Mulyani usai Rapat Paripurna DPR ke-18 yang digelar di Kompleks Parlemen, Jakarta, pada Selasa, 20 Mei 2025.

Sri Mulyani mengatakan, penyusunan Anggaran Pendapatan dan Belanja Negara (APBN) 2026 akan berdasarkan hasil evaluasi langkah-langkah efisiensi yang telah dilakukan selama ini. “Kami masih akan terus memonitor berbagai langkah-langkah efisiensi, dan tentu nanti penyusunan Anggaran Pendapatan dan Belanja Negara (APBN) 2026 menggunakan seluruh evaluasi tahun ini yang sudah dilakukan,” kataSri Mulyani, Selasa, 20 Mei 2025.

Pelaksanaan efisiensi anggaran dilakukan berdasarkan Instruksi Presiden Nomor 1 Tahun 2025 yang telah rampung pada 7 Maret 2025. Dalam pelaksanaannya, pemerintah mengarahkan efisiensi anggaran kementerian/lembaga sebesar Rp 256,1 triliun serta efisiensi pada pos transfer ke daerah senilai Rp 50,59 triliun.

Keterbatasan APBN

Kebijakan efisiensi anggaran yang akan diterapkan dalam penyusunan APBN 2026 didasarkan pada sejumlah pertimbangan strategis. Salah satu alasan utamanya adalah keterbatasan Anggaran Pendapatan dan Belanja Negara (APBN) sebagai instrumen fiskal.",21 Mei 2025,13.21 WIB,Bisnis,https://www.tempo.co/ekonomi/alasan-mengapa-efisiensi-anggaran-berlanjut-ke-2026-1503808,efisiensi anggaran
"Efisiensi Anggaran, Sastra Prioritaskan Sektor Pendidikan","Ketua DPRD Kabupaten Bogor, Sastra Winara menyebut hasil dari efisiensi anggaran DPRD Kabupaten Bogor akan dialokasikan kepada sektor pendidikan sesuai dengan Instruksi Presiden nomor 1 tahun 2025.","MEMO BISNIS - Ketua DPRD Kabupaten Bogor, Sastra Winara mengatakan hasil dari efisiensi anggaran DPRD Kabupaten Bogor akan dialokasikan kepada sektor pendidikan sesuai dengan Instruksi Presiden nomor 1 tahun 2025. ia menyebut, lembaga legislatif dan eksekutif Kabupaten Bogor telah sepakat untuk memprioritaskan perbaikan pembangunan sarana pendidikan.

""Kita ketahui bersama bahwa Bupati Bogor, Rudy Susmanto menginginkan semua ruang kelas dan terutama yang sudah mengalami kerusakan itu segera diperbaiki. Untuk memenuhi hal itu, maka anggaran dari efisiensi kemarin akan digunakan untuk itu. Karena itu prioritas,"" kata Sastra dalam keterangannya, Sabtu, 3 Mei 2025.

Sastra ingin hak masyarakat yang berkaitan dengan pendidikan bisa terpenuhi. Ia menyebut, DPRD Kabupaten Bogor siap mendukung Pemerintah Kabupaten Bogor untuk memprioritaskan sektor pendidikan.

""Segala kekurangan dan apa yang musti dibenahi serta yang harus diperbaiki di sektor pendidikan yang diusulkan oleh Pemerintah eksekutif Kabupaten Bogor, tentu akan kamisupport. Karena penilaian saya saat ini kebutuhan pendidikan masih belum cukup dan sarananya belum memadai secara maksimal.” (*)",5 Mei 2025,12.34 WIB,,https://www.tempo.co/info-tempo/efisiensi-anggaran-sastra-prioritaskan-sektor-pendidikan-1344307,efisiensi anggaran
Anggaran Kecil KKP Jadi Perhatian Komisi IV DPR RI,DPR juga meminta kejelasan mengenai bagian anggaran yang telah dibuka blokirnya serta pemanfaatannya,"INFO NASIONAL– Ketua Komisi IV DPR RI, Titiek Soeharto, menyoroti kecilnya alokasi anggaran untuk Kementerian Kelautan dan Perikanan (KKP) di tengah meningkatnya tantangan sektor kelautan dan perikanan nasional. Keterbatasan anggaran tersebut menjadi perhatian serius, terlebih dengan adanya kebijakan proteksionis dari Amerika Serikat (AS).

“Berdasarkan rapat kerja tanggal 13 Februari 2025, tercatat alokasi anggaran Kementerian Kelautan dan Perikanan tahun 2025 sebesar Rp 6,2 triliun, dengan dana yang terblokir sebesar Rp 2,1 triliun. Sehingga anggaran efektif menjadi Rp 4,1 triliun setelah diterapkannya kebijakan efisiensi anggaran,” kata Titiek saat membuka rapat kerja Komisi IV DPR RI dengan Menteri Kelautan dan Perikanan, di Gedung Nusantara, Senayan, Jakarta, Selasa, 22 April 2025.

Kebijakan perdagangan Amerika Serikat, kata Titiek, khususnya terkait peningkatan tarif impor dan pajak atas produk asing, memberikan dampak signifikan terhadap ekspor perikanan Indonesia. Sebagai salah satu pasar utama, proteksionisme dari AS disebut sebagai tantangan yang harus segera direspons oleh KKP.

“Kebijakan tersebut harus dihadapi oleh KKP dalam rangka melindungi dan menyelamatkan industri perikanan nasional,” ujar dia.

Titiek juga menyinggung syarat baru ekspor dari sejumlah negara tujuan, seperti Amerika dan Uni Eropa, yang menekankan pentingnya ketertelusuran (traceability) dan kepatuhan terhadap prinsip keberlanjutan.

“Produk yang tidak bisa dibuktikan asal penangkapannya dan keberlanjutannya, akan ditolak oleh pasar dunia,” kata dia.

Dalam forum itu, DPR juga meminta kejelasan mengenai bagian anggaran yang telah dibuka blokirnya serta pemanfaatannya, khususnya dalam mendukung program prioritas dan bantuan kepada masyarakat.

Menteri Kelautan dan Perikanan Sakti Wahyu Trenggono kemudian memaparkan rincian anggaran KKP untuk tahun 2025. Ia menjelaskan bahwa pagu efektif anggaran yang bersumber dari APBN semula sebesar Rp 4,84 triliun. Namun, setelah dilakukan efisiensi sesuai Instruksi Presiden Nomor 1 Tahun 2025, jumlahnya turun menjadi Rp 3,58 triliun.(*)",23 April 2025,16.04 WIB,,https://www.tempo.co/info-tempo/anggaran-kecil-kkp-jadi-perhatian-komisi-iv-dpr-ri-1234748,efisiensi anggaran
PHRI Kritik Pemerintah yang Sarankan Hotel Cari Pasar Lain,PHRI menyatakan 2 hotel di Bogor resmi menyatakan PHK massal.,"TEMPO.CO,Jakarta- PerhimpunanHoteldan Restoran Indonesia (PHRI) mengkritik pernyataan sejumlah pejabat pemerintah yang menyarankan pelaku industri perhotelan mencari pangsa pasar lain, di tengah gelombang pemutusan hubungan kerja (PHK) akibat pemangkasan anggaran pemerintah.

Ketua PHRI Hariyadi Sukamdani menyebut pernyataan itu sebagai bentuk pelimpahan tanggung jawab sepihak yang tidak mencerminkan realitas lapangan. Ia menegaskan pertumbuhan sektorperhotelanselama ini justru mengikuti permintaan dari pemerintah sebagai konsumen utama.

“Selama ini pengusaha hotel itu menambah kamar karena mengikuti pasar, dan pasar itu kebetulan datang dari pemerintah,” ujar Haryadi saat dihubungi, Sabtu, 5 April 2025.

Menurut dia, kontribusi belanja pemerintah terhadap okupansi hotel sangat besar, mencapai 40 persen secara nasional. Bahkan di luar Jawa,kata dia, pangsa pasarnya bisa menyentuh 70 persen. Maka ketika pemerintah melakukan efisiensi belanja tanpa perencanaan transisi, industri hotel langsung terpukul.

“Yang terjadi di kuartal pertama ini bukan hanya pemotongan, tapi benar-benar nihil kegiatan. Itu yang membuat hotelcollapse,” ujarnya.",6 April 2025,14.09 WIB,Bisnis,https://www.tempo.co/ekonomi/phri-kritik-pemerintah-yang-sarankan-hotel-cari-pasar-lain-1228040,efisiensi anggaran
IRS Pecat 20.000 Pekerja Jelang Masa Pelaporan Pajak AS,"IRS atau lembaga federal Amerika Serikat (AS) yang mengumpulkan pajak, pada Jumat mulai memecat 20.000 tenaga kerjanya.","TEMPO.CO,Jakarta- Internal Revenue Service (IRS) atau lembaga federal Amerika Serikat (AS) yang mengumpulkan pajak, pada Jumat mulaimemecat20.000 tenaga kerjanya. Seperti dilansirArab News,kepemimpinan lembaga itu mengatakan dalam sebuah email kepada staf, dan di antara yang pertama pergi adalah pekerja kantor hak-hak sipilnya.

""IRS telah mulai menerapkan Pengurangan Kekuatan (RIF) yang akan mengakibatkan pemotongan staf di beberapa kantor dan kategori pekerjaan,"" kata email sumber daya manusia internal yang dikirim ke semua staf pada Jumat.

Email itu mengatakan PHK massal pada lembaga yang merupakan bagian dari Departemen Keuangan AS tersebut akan berlangsung secara bertahap. Pemecatan berlangsung di tengah waktu tersibuk dalam setahun untuk IRS, dengan batas waktu pengajuan untuk sebagian besar pengembalian pajak individu jatuh pada 15 April.

Email itu mengatakan 75 persen dari kantor hak-hak sipil agensi—yang sebelumnya disebut kantor keragaman, kesetaraan dan inklusi— akan dipecat dan karyawan yang tersisa akan pindah di bawah kantor terpisah. Trump telah mengeluarkan perintah eksekutif yang bertujuan untuk membongkar inisiatif DEI yang dia sebut diskriminatif.

Reuterssebelumnya melaporkan bahwa lebih dari 20.000 staf akan dipecat, yang dikonfirmasi oleh sumber yang akrab dengan pengumuman pada Jumat. Sumber itu mengatakan 20-25 persen dari tenaga kerja lembaga pemungut pajak AS akan menjadi sasaran.",5 April 2025,10.00 WIB,Internasional,https://www.tempo.co/internasional/irs-pecat-20-000-pekerja-jelang-masa-pelaporan-pajak-as-1227692,efisiensi anggaran
Hotel di Bandung Kurangi Pekerja Sejak Februari Terdampak Efisiensi Anggaran Pemerintah,"Sejak Januari, Februari, dan Maret saat bulan puasa, tingkat okupansi hotel mengalami penurunan.","TEMPO.CO,Bandung- Para pengelolahoteldi Bandung sejak Februari 2025 mengurangi jumlah karyawan. Salah satunya menurut Ketua Riung Priangan Arief Bonafianto karena nihil aktivitasMICE(Meetings, Incentives, Conferences, Exhibitions) sejak awal tahun setelah keluarnya kebijakan efisiensi dari pemerintah. “Pengurangan karyawan hampir 25 persen rata-rata per hotel seperti itu,” katanya kepada Tempo, Selasa 1 April 2025.

Riung Priangan merupakan komunitas yang beranggotakan manajer umum dari 96 hotel bintang 3-5 di Bandung. Menurut Arief, biasanya sekitar 80 persen pemasukan hotel berasal dari kegiatan MICE. Selebihnya 20 persen berasal dari okupansi atau keterisian kamar hotel misalnya dari para wisatawan yang berlibur saat akhir pekan dan hari libur nasional. Namun sejak Januari, Februari, dan Maret saat bulan puasa, tingkat okupansi mengalami penurunan.

Dampaknya sejumlah hotel sejak Februari lalu mengurangi jumlah karyawan terutama pegawai harian atau mereka yang biasanya melayani tamu. Sebagian karyawan dirumahkan, ada yang hari kerjanya dikurangi, dan kontrak kerja yang habis tidak diperpanjang. “Sudah jadi minus posisinya, apalagi kalau sampai enam bulan kami agak ngeri,” kata Arief.

Selain mengurangi pekerja, penghematan lain seperti menu sarapan yang jumlahnya dipangkas. Kondisi buruknya adalah penutupan hotel seperti yang telah terjadi di Bogor. Menurut Arief penutupan itu berlangsung sementara hingga situasi membaik. Efek domino dari situasi ini juga berdampak ke pelaku usaha kecil menengah seperti pemasok beras serta sayur mayur.

Ia berharap pemerintah mengkaji ulang istilahefisiensi anggaran. “Parameter efisiensi ini sejauh mana apakah MICE tidak boleh sama sekali di hotel, kenapa tidak boleh, apa yang dibatasi dari kegiatan MICE ini,” ujarnya. Jika MICE benar-benar dihentikan atau dilarang, beban operasional hotel akan semakin berat. “Pemerintah harus melihat bahwa pendapatan asli daerah terbesar seperti di Kota Bandung disumbang nomor satunya dari dunia pariwisata termasuk perhotelan.”",2 April 2025,10.58 WIB,Bisnis,https://www.tempo.co/ekonomi/hotel-di-bandung-kurangi-pekerja-sejak-februari-terdampak-efisiensi-anggaran-pemerintah-1226767,efisiensi anggaran
"Dampak Efisiensi Anggaran, PHRI: 2 Hotel di Bogor Tutup, 150 Orang Kena PHK",PHRI memprediksi banyak lagi hotel yang tutup jika pemerintah tidak segera memberikan stimulus ekonomi.,"TEMPO.CO,Jakarta-Ketua Umum PerhimpunanHoteldan Restoran Indonesia (PHRI) Hariyadi Sukamdani mengungkapkan 150 orang terkena pemutusan hubungan kerja (PHK) imbas tutupnya 2 hotel di Bogor, Jawa Barat. Hariyadi menyebut hotel tersebut merupakan dua di antara sekian banyak hotel yang terdampak dari kebijakan efisiensi anggaran pemerintah.

“Karena ternyata di segmen pemerintah itu sampai 40 persen okupansinya,” kata Hari saat ditemui di kawasan Widya Chandra, Jakarta Selatan, Selasa, 1 April 2025.

Selain itu, lesunya perekonomian di kalangan masyarakat menengah juga menjadi salah satu alasan yang mengguncang industri perhotelan. Di lebaran ini saja, kata Hari, tingkat keterisian atau okupansi hotel turun hingga 20 persen dibanding tahun lalu.

Bahkan, cuti bersama yang lebih panjang pun tidak memberikan dampak signifikan. “Daya beli yang bermasalah ini membuat reservasi perhotelan tahun ini bergerak lambat,” kata dia. Ia mengungkap banyak masyarakat yang memangkas waktu berliburnya dari 7 hari menjadi 4 hari saja.

Ia memprediksi banyak lagi hotel yang tutup jika pemerintah tidak segera memberikan stimulus ekonomi. Dia berpendapat pemerintah harus segera melepaskanspendingatau simpanan anggaran yang sebelumnya dipangkas. Menurut dia hal tersebut dapat meningkatkan daya beli masyarakat dan mencegah adanya gelombangPHKyang lebih besar.",2 April 2025,07.48 WIB,Bisnis,https://www.tempo.co/ekonomi/dampak-efisiensi-anggaran-phri-2-hotel-di-bogor-tutup-150-orang-kena-phk-1226727,efisiensi anggaran
