judul,isi,hari,tanggal,jam,kategori,sub_kategori,link,keyword
Noda yang Tertinggal Usai Perayaan Persib Juara di GBLA,"Euforia perayaan gelar juara Persib Bandung hingga sekarang masih begitu terasa. Sayangnya, di balik perayaan yang begitu monumental itu, ada noda yang tertinggal, terutama di stadion kebanggaan warga Kota Bandung, Stadion GBLA.

Pemicunya, karena ada ulah sejumlah bobotoh yang nekat merusak Stadion GBLA. Mereka mencabut rumput stadion bahkan menggunting jala gawang setelah laga pamungkas Persib melawan Persis Solo, Sabtu (24/5) malam selesai digelar.

Tak ayal, kecaman untuk para oknum bobotoh itu pun kini berdatangan. Salah satunya dilontarkan Gubernur Jabar Dedi Mulyadi yang ikut geram karena seharusnya euforia kemenangan tidak dibarengi dengan tindakan perusakan.

SCROLL TO CONTINUE WITH CONTENT

""Merayakan kemenangan adalah ekspresi yang kita nantikan. Tetapi, saya tidak ada toleransi terhadap tindakan-tindakan yang mengarah kepada kriminal melakukan perusakan terhadap fasilitas stadion yang kita banggakan (Stadion GBLA),"" kata Dedi Mulyadi dalam unggaha Instagram pribadinya dikutip detikJabar, Senin (26/5/2025).

Dedi Mulyadi memastikan, telah memerintahkan aparat untuk mengusut insiden tersebut. Pilihannya untuk si pelaku ada dua, yaitu proses pidana atau dimasukkan ke barak militer.

""Tunggu aparat akan segera datang menjemput untuk dilakukan klarifikasi dan pemeriksaan. Apabila terbukti itu pidana, akan diproses,"" ungkapnya.

""Apabila di bawah umur, maka barak militer adalah tempat untuk anda semua dilakukan pembinaan sampai anda menyadari tindakan anda memang salah,"" tandasnya.

Setelah rapat paripurna di Gedung DPRD Jabar, Dedi Mulyadi kembali menyinggung tentang masalah itu. Ia mengaku sudah menelepon Kapolrestabes Bandung Kombes Budi Sartono untuk mengusut kerusakan di Stadion GBLA.

""Saya sudah telepon Kapolrestabes-nya dan timnya sudah bergerak. Jadi nanti dilihat di profilnya, kalau di profilnya ada di KTP kan mudah. Tapi kalau tidak ada, tetap mau dicari,"" kata Dedi Mulyadi.

Ia mengatakan, ulah sejumlah oknum bobotoh itu telah mencederai karakter dari sesama suporter Persib Bandung. Sebab menurutnya, bobotoh secara keseluruhan harusnya bisa menjaga citra bahwa mereka bukan suporter arogan.

""Karena itu mencederai karakter dari bobotoh. Para pendukung Persib itu kan pendukung cerdas, bukan pendukung emosional,"" ungkapnya.

""Dan paling utama dari saya adalah, Persib kan identik dengan Jawa Barat. Jawa Barat identik dengan orang Sunda. Jangan sampai terbangun citra bahwa para pendukung kita bukan pendukung yang berpendidikan, tapi pendukung yang arogan. Nah itu kan tindakan kriminal, jadi itu harus ditindak,"" tuturnya menambahkan.

Manajemen Persib, PT Persib Bandung Bermartabat juga ikut merespons kerusakan yang terjadi di GBLA. Menajemen menyayangkan insiden itu karena Persib telah resmi mengelola stadion tersebut selama 30 tahun.

""Kami sangat menyayangkan adanya kerusakan di beberapa bagian stadion GBLA pascapertandingan kemarin. Padahal, saat ini kami sedang terus berupaya untuk membenahi dan mempercantik GBLA agar bisa menjadi tempat yang semakin nyaman dan membanggakan, baik untuk pemain maupun seluruh pendukung Persib,"" kata Deputy CEO PT PBB Adhitia Putra Herawan.

Menurut Adhitia, GBLA sedang diproyeksikan tak hanya sekedar menjadi stadion tempat pertandingan digelar. Tapi manajemen menginginkan stadion yang terletak di Kecamatan Gedebage itu menjadi ikon Kota Bandung supaya memiliki nilai historis dan emosional yang kuat bagi masyarakat.

""GBLA adalah salah satu ikon Kota Bandung yang harus kita jaga bersama. Ini adalah rumah bagi klub yang kita cintai dan kita banggakan, yaitu Persib. Semua pihak tentu memiliki tanggung jawab untuk merawat dan menjaga tempat ini, agar tetap menjadi kebanggaan kita semua,"" tuturnya.

Soal kerusakan, Adhitia menegaskan manajemen tidak dalam posisi untuk memgalahkan pihak mana pun. Ia lebih mendorong agar seluruh suporter dan masyarakat bisa bersama-sama menjaga fasilitas publik, khususnya yang berkaitan dengan sepak bola dan Persib.

""Kami percaya bahwa semangat cinta terhadap klub bisa diwujudkan dalam bentuk yang lebih positif dan membangun. Menjaga GBLA adalah salah satu bentuk nyata dukungan dan kecintaan terhadap Persib,"" pungkasnya.",Selasa,27 Mei  2025,07:15 WIB,detikJabar,Berita,https://www.detik.com/jabar/berita/d-7934070/noda-yang-tertinggal-usai-perayaan-persib-juara-di-gbla,KDM barak militer
Momen Siswa di Jabar Belajar di Barak Militer,(nkm/nkm)pendidikan karaktersiswa jawa baratbarak militerprogram pendidikanpengalaman belajarpemprov jawa baratpelatihan militerpengembangan karakter,Rabu,07 Mei  2025,14:00 WIB,detikSumut,Hukum dan Kriminal,https://www.detik.com/sumut/hukum-dan-kriminal/d-7903453/momen-siswa-di-jabar-belajar-di-barak-militer,KDM barak militer
Haedar Nashir Minta Program Anak Nakal Dikirim ke Barak Dikaji Ulang,"Ketua Umum (Ketum) PP Muhammadiyah,Haedar Nashirmengkritik program pengiriman pelajar nakal ke barak militer oleh Gubernur Jawa Barat, Dedi Mulyadi. Haedar meminta program ini dikaji ulang.

Menurut Haedar, program pendidikan barak tidak bersifat artifisial. Menurutnya, jika program ini dibuat untuk mendisiplinkan pelajar bandel, harusnya menggunakan aspek fisik.

""Semestinya dikaji ulang lah. Disiplin itu kan tidak berarti fisik, tapi mentalitas, tapi yang namanya pendidikan itu termasuk perubahan kurikulum, pola yang kita kembangkan itu hasil kajian yang disebut dengan kajian akademik, dan kita harus membiasakan itu,"" kata Haedar saat ditemui di Kasihan, Bantul, dilansirdetikJogja, Minggu (25/5/2025).

SCROLL TO CONTINUE WITH CONTENT





Haedar menuturkan program ini harus dikaji ulang mengacu pada undang-undang dan naskah akademik yang berlaku. Termasuk harus melibatkan stakeholder di bidang akademik.

""Bahkan, segala rancangan undang-undang mestinya didasarkan pada naskah akademik. Naskah akademik itu melibatkan berbagai stakeholder untuk mengkritisi dan memberi masukan secara akademik. Supaya hasil yang terbaik biar pun tidak sempurna,"" lanjutnya.

Maka dari itu, Haedar menyarankan Dedi Mulyadi untuk berkomunikasi dengan Kemendikdasmen untuk mengkaji ulang program ini. Tujuannya agar program yang dibuat sesuai dengan koridor sistem pendidikan.

Baca berita selengkapnyadi sini.



Simak juga Video: Mendikdasmen Belum Kaji Kebijakan Pendidikan di Barak Militer

[Gambas:Video 20detik]

",Minggu,25 Mei  2025,17:42 WIB,detikNews,Berita,https://news.detik.com/berita/d-7931951/haedar-nashir-minta-program-anak-nakal-dikirim-ke-barak-dikaji-ulang,KDM barak militer
Puluhan Siswa 'Nakal' Indramayu Dikirim ke Barak Militer,"Sebanyak 20 siswa SMA sederajat di Indramayu dikirim ke Barak Rindam III Siliwangi, Lembang Bandung pada Senin (5/5/2025) pagi. Mereka diketahui sering bolos sekolah hingga terlibat tawuran.

Pembina Guru BK se Kabupaten Indramayu Erna Setyawati membenarkan adanya pemberangkatan siswa 'hebat' ke Barak Rindam III Siliwangi tersebut. Sesuai petunjuk Gubernur Jawa Barat Dedi Mulyadi, para siswa ini pun tercatat kurang disiplin bahkan sempat diamankan polisi gegara terlibat tawuran.

""Iya memang susah diatur, bolos, tidak disiplin. Yang tawuran juga ada, ada anak-anak yang tawuran dan diamankan juga ada,"" ujar Erna ditemui detikJabar, Selasa (6/5/2025).

SCROLL TO CONTINUE WITH CONTENT

Dari 20 siswa SMA sederajat yang diberangkatkan itu, terdiri dari 6 sekolah yang ada di wilayah Kabupaten Indramayu. Namun, satu siswa di antaranya tidak diberangkatkan karena sakit. Mereka diberangkatkan dan mendapat pendidikan selama 14 hari ke depan.

Mereka para siswa langsung mendapatkan pendidikan khusus. Bahkan, per hari ini Rindam III Siliwangi mendatangkan psikolog.

""Hari ini jadwalnya tim psikologi datang ke Rindam Siliwangi terus nanti jadwalnya video call dengan orang tua masing-masing,"" katanya.

Tentunya, kata Erna, siswa yang diberangkatkan telah mendapatkan izin dari orang tua. Karena tidak dipungkiri, orang tua mengaku kesulitan untuk mendidik putranya tersebut.

""Iya memang kewalahan. Makannya syarat utama itu harus ada izin dari orang tua. Kalau tidak diizinkan orang tua di sana juga nggak mau menerima,"" ujarnya.

Transformasi menjadi pribadi yang baik adalah harapan setiap orang tua dan guru yang ada di sekolah. Serta peran serta orang tua dalam mendidik lebih ditingkatkan.

""Setelah pulang mereka bertransformasi menjadi pribadi yang bagus, berkarakter yang baik. Dan harapan saya orang tua siswa mendukung dan memberikan iklim yang baik untuk perubahan anak tadi,"" harapnya.",Selasa,06 Mei  2025,22:30 WIB,detikJabar,Cirebon Raya,https://www.detik.com/jabar/cirebon-raya/d-7901711/puluhan-siswa-nakal-indramayu-dikirim-ke-barak-militer,KDM barak militer
30 Siswa SMP Cianjur 'Nakal' Dibina di Barak Militer,"Sebanyak 30 siswa SMP yang terlibat tawuran serta kecanduan gim online di Cianjur di kirim ke barak militer di Yonif raider 300 untuk pembinaan pada, Selasa (6/5/2025).

Para siswa tersebut masuk ke barak militer dan mulai mengikuti pembinaan pada Selasa pagi dengan diantar orangtua serta kepala sekolahnya masing-masing. Tampak sebagian siswa ini pun sempat menangis ketika berpamitan dengan orang tuanya.

Kepala Dinas Pendidikan Pemuda dan Olahraga Kabupaten Cianjur Ruhli, mengatakan 30 siswa yang dikirim ke barak tersebut berasal dari 8 sekolah berbeda di Cianjur.

SCROLL TO CONTINUE WITH CONTENT

Menurut dia, sebagian memiliki catatan sempat terlibat aksi tawuran pelajar.

""Mayoritas pernah terlibat tawuran. Ini berdasarkan data yang kami terima dari pihak kepolisian. Ada juga yang kecanduan gim,"" kata Ruhli, Selasa (6/5/2025).

Menurut dia, para siswa tersebut akan menjalani pembinaan selama dua pekan. Tapi mereka juga tetap akan mendapatkan pendidikan formal dari guru yang sudah disiapkan Disdikpora.

""Kegiatan pagi sampai siang tetap belajar seperti di sekolah. Kemudian ada pendidikan jasmani, pembinaan karakter, hingga keagamaan,"" jelas Ruhli.

Bupati Cianjur dr Muhammad Wahyu, mengatakan pihaknya juga menyiapkan psikolog dan tenaga kesehatan untuk memantau kondisi para siswa yang dibina di barak.

""Kita pantau kesehatannya dan mentalnya setiap hari,"" ujarnya.

Wahyu menambahkan, setelah selesai pembinaan, para siswa akan dipantau selama enam bulan. Jika ke Bali berulah maka mereka akan dijemput kembali untuk pembinaan lanjutan.

""Kalau yang tetap berbuat kenakalan apapun dalam periode 6 bulan pemantauan, kami akan bawa dan buna lagi di barak sampai benar-benar berubah perilakunya,"" kata Wahyu.

""Kami ingin anak-anak ini jadi generasi terbaik untuk Cianjur emas di masa yang akan datang,"" tambahnya.

Di sisi lain, Irfan Maulana, salah seorang pendamping siswa, mengatakan ada dua siswa yang diserahkannya untuk dibina. Menurut dia, kedua siswa tersebut memiliki jiwa kepemimpinan namun perilakunya masih perlu dibina.

""Sebenarnya kedua anak yang saya bawa ini jadi sosok yang selalu diikuti oleh teman-temannya. Jadi leadershipnya sudah ada. Tapi memang harus dibina. Makanya setelah selesai pembinaan, akan saya masukan mereka ke anggota OSIS untuk menjadi contoh bagi siswa yang lain. Diharapkan juga bisa menularkan perilaku positif kepada temannya,"" pungkasnya.",Selasa,06 Mei  2025,18:37 WIB,detikJabar,Berita,https://www.detik.com/jabar/berita/d-7902663/30-siswa-smp-cianjur-nakal-dibina-di-barak-militer,KDM barak militer
Video Pigai Dukung 'Barak Militer' Dedi Mulyadi: Tak Langgar HAM,Menteri Hak Asasi Manusia (HAM) menilai kebijakan Gubernur Jawa Barat (Jabar) Dedi Mulyadi yang mengirimkan siswa nakal ke barak militer tak melanggar HAM. Pigai mendukung kebijakan tersebut.,6,"844 Views  |  Selasa, 06 Mei  2025",16:49 WIB,,,https://20.detik.com/detikupdate/20250506-250506114/video-pigai-dukung-barak-militer-dedi-mulyadi-tak-langgar-ham,KDM barak militer
Respons Farhan soal Kebijakan KDM Kirim Siswa Nakal ke Barak Militer,"Wali Kota Bandung Muhammad Farhan ikut angkat bicara terkait kebijakan Gubernur Jabar Dedi Mulyadi yang mengirimkan siswa nakal ke barak militer. Farhan mengaku, siap mendukung kebijakan tersebut.

""Saat ini memang Pak Gubernur sedang lakukan pendataan bagi siswa yang berpotensi dalam program pendidikan kedisiplinan,"" kata Farhan ditemui usai menghadiri Festival Temenggung 2025 di Bandung, Minggu (4/5/2025).

Menurut Farhan, pihaknya akan terus berkoordinasi dengan Pemprov Jabar untuk menyukseskan program Gubernur Jabar satu ini.

SCROLL TO CONTINUE WITH CONTENT

""Kami masih menunggu hasil verifikasi data tersebut dan nanti bersamaan Pak Gubernur, Pemerintah Provinsi dan Pemerintah Kota akan mengirim surat kepada para orang tua agar menandatangani kesediaan untuk ikut program sekolah kedisiplinan tersebut,"" ungkapnya.

Saat ini, program tersebut mendapatkan kritik dari banyak pihak. Disinggung apakah Farhan mendukung program tersebut? Politisi Nasdem itu sebut mendukung.

""Harus, masa program provinsi nggak dukung,"" ujar Farhan.

Karena masih dalam proses verifikasi, Farhan belum dapat banyak berkomentar dengan program ini.

Sebelumnya, Gubernur Jabar Dedi Mulyadi Dedi mengatakan program ini bukanlah hal baru dan memiliki dasar hukum serta prosedur yang jelas.

""Terus problemnya apa di sisi aspek perlindungan anak, kan enggak ada problem. Paskibra dilatihnya sama siapa, TNI. Terus kemudian kita ada sekolah SMA yang di dalamnya sistem pendidikannya dikelola oleh tentara, Sekolah Taruna Nusantara,"" kata Dedi usai menjadi pembina upacara Hari Pendidikan Nasional di Rindam III Siliwangi, Kota Bandung, Jumat (2/5).

Menurut Dedi, pola pendidikan semi militer bukanlah hal asing dalam dunia pendidikan di Indonesia. Ia menyebut, sistem serupa telah diterapkan di berbagai institusi pendidikan dan terbukti melahirkan generasi yang berkualitas.

""Kan sistem pendidikannya model militer, semi militer, jadi bukan hal baru. Kemudian apa yang dihasilkan anak-anak Taruna Nusantara, anak-anak yang sehat, anak-anak yang cerdas, anak-anak visioner. Walaupun sekolah umum juga banyak yang sangat visioner, tetapi proses ketahanan dan kebugaran tubuhnya berbeda,"" jelasnya.

Dedi juga menyebut, siswa-siswa yang dikirim ke barak TNI adalah mereka yang telah menunjukkan perilaku mengarah pada tindakan kriminal dan tidak lagi sanggup dibina oleh orang tuanya di rumah.

""Yang sudah mengarah pada tindakan-tindakan kriminal dan orang tuanya tidak punya kesanggupan untuk mendidik. Artinya bahwa yang diserahkan itu adalah siswa yang oleh orang tuanya di rumahnya sudah tidak mau lagi, tidak mampu lagi untuk mendidik,"" tegasnya.",Minggu,04 Mei  2025,13:30 WIB,detikJabar,Berita,https://www.detik.com/jabar/berita/d-7898544/respons-farhan-soal-kebijakan-kdm-kirim-siswa-nakal-ke-barak-militer,KDM barak militer
Pembuat Onar hingga ASN Malas di Jabar Akan Dibawa ke Barak Militer,"Gubernur Jawa Barat Dedi Mulyadi berencana memaksimalkan pendidikan di barak militer. Sasaran barunya bukan hanya pelajar, melainkan orang dewasa yang kerap membuat keributan di lingkungan masyarakat, serta Aparatur Sipil Negara (ASN) yang tidak menunjukkan etos kerja apik.

Pernyataan ini disampaikan Dedi Mulyadi usai menghadiri kegiatan Musyawarah Perencanaan Pembangunan (Musrenbang) Provinsi Jawa Barat di Bale Jaya Dewata, Cirebon, Rabu (7/5/2025).

""Selama ini kita hanya fokus pada anak-anak yang dianggap 'nakal'. Tapi nyatanya banyak juga orang dewasa yang justru memberi contoh buruk dan doyan mabuk, malas bekerja, bahkan tidak bertanggung jawab pada keluarganya,"" tegas Dedi.

SCROLL TO CONTINUE WITH CONTENT

Ia mencontohkan, banyak pria dewasa yang giat memperbanyak keturunan, namun abai terhadap pendidikan dan kesejahteraan anak-anak mereka.

""Rajin bikin anak, tapi malas memberi nafkah dan perhatian. Ini ironis. Kriminalitas itu tidak selalu selesai dengan penjara, kita harus cari cara agar mereka bisa berubah,"" tambahnya.

Menurut Dedi, beberapa orang dewasa yang terlibat dalam tindakan-tindakan kecil seperti mencuri ayam, lambat laun bisa meningkat ke kejahatan yang lebih besar. Oleh karena itu, mereka perlu mendapat pembinaan mental dan disiplin seperti halnya anak-anak bermasalah.

""Termasuk ASN yang malas. Kalau tidak mau bekerja sungguh-sungguh, mereka juga perlu 'disekolahkan' lagi tentang tanggung jawab,"" katanya.

Dalam kesempatan yang sama, Dedi juga menanggapi isu terkait penerima bantuan sosial yang disarankan untuk mengikuti program Keluarga Berencana (KB). Ia menekankan pentingnya pengendalian jumlah penduduk di tengah keterbatasan lahan yang semakin sempit.

""Kalau penduduk terus bertambah, lahan makin sempit, ruang bermain anak-anak juga akan hilang. Akhirnya anak-anak tumbuh dalam tekanan dan bisa mengalami depresi sejak dini,"" jelasnya.

Ia menyebutkan KB tidak harus identik dengan prosedur medis seperti vasektomi atau tubektomi, tetapi lebih pada niat dan kesadaran untuk bertanggung jawab terhadap masa depan keluarga.

""Jangan sampai waktu diajak KB menolak, tapi giliran melahirkan dan tidak punya biaya, malah gubernur atau bupati yang dicari karena tidak bisa tebus biaya rumah sakit,"" sindir Dedi.

Dengan langkah-langkah ini, Dedi berharap kualitas hidup masyarakat Jawa Barat dapat meningkat, tidak hanya dari sisi ekonomi, tapi juga dari aspek sosial dan moral.",Rabu,07 Mei  2025,18:19 WIB,detikJabar,Berita,https://www.detik.com/jabar/berita/d-7904392/pembuat-onar-hingga-asn-malas-di-jabar-akan-dibawa-ke-barak-militer,KDM barak militer
"Anggaran Pendidikan Karakter di Barak Militer Capai Rp 6 M, Begini Tanggapan DPRD Jabar","ADVERTISEMENT

Gubernur Jawa Barat, Dedi Mulyadi, telah mengirimkan ratusan siswa yang dianggap nakal ke barak militer. Nantinya, para siswa akan mengikuti pendidikan karakter dan materi pelajaran sekolah.

Diketahui, anggaran untuk program pendidikan karakter mencapai Rp 6 miliar dengan kuota 2.000 siswa. MenurutDedi, jumlah siswa yang akan mengikuti program tersebut bisa semakin banyak. Alokasi anggaran kemudian akan berada di di Dinas Pendidikan.

""Kalau yang sekarang kan yang teknis-teknis saya tanganin waktu awal, tapi karena jumlahnya semakin besar maka alokasi anggarannya ada di Dinas Pendidikan. Dinas Pendidikan itu nanti uangnya itu diserahkan ke penyelenggara, kita tidak mengelola,"" ujar dedi dalamdetikJabarRabu (7/5/2025).

SCROLL TO CONTINUE WITH CONTENT

Dedi menjelaskan, anggaran tersebut akan digunakan untuk biaya operasional termasuk kebutuhan seragam, makan siswa, dan honor para pelatih.

""Komponennya kan ada seragam, ada makan, ada minum. Kan seperti itu komponennya, terus kemudian honorarium pelatihan. Tapi tapi kalau lonjakan nanti diukur per siswa nya berapa sih nilainya per hari kali sekian hari,"" paparnya.

Program pendidikan karakter ini menuai beragam tanggapan. Salah satunya datang dari DPRD Jawa Barat.

Wakil Ketua Dewan Perwakilan Rakyat Daerah (DPRD) Jabar, Ono Surono mengatakan Dedi Mulyadi sejak awal tidak pernah melibatkan DPRD terkait pembahasan pendidikan karakter, termasuk soal penyediaan anggaran dari Anggaran Pendapatan dan Belanja Daerah (APBD).

""Penjabaran APBD, KDM (Kang Dedi Mulyadi) kan tidak pernah melibatkan DPRD, jadi kita tidak tahu karena tidak pernah dibahas oleh DPRD. Tetapi pasti DPRD akan mendalami itu yang Rp6 Miliar itu, saya yakin ke depan ada proses pembahasan,"" kata Ono dalamdetikJabarSelasa (6/5/2025).

""Seyogyanya hal-hal yang menjadi wacana dan jadi kebijakan, seyogyanya dibahas bersama dengan DPRD,"" sambungnya.

Menurut Ono, DPRD memiliki wewenang dalam perumusan kebijakan daerah terlebih pada penggunaan APBD.

""Tidak ada (pembahasan),gaduhnya itu kan karena tidak pernah diajak bicara padahal kita institusi dari bagian pemerintahan daerah yang mempunyai kewenangan juga terkait dengan perencanaan sampai denganditetapkannya program yang berujung pada anggaran yang dibiayaiAPBD,""ungkapnya.

Terkait program pendidikan karakter dengan mengirim siswa ke barak TNI, Ono mengungkapkan seharusnya ada tindakan preventif untuk mengatasi permasalahan-permasalahan di kalangan remaja. Dia mencontohkan, Pemprov Jabar bisa menggandeng aparat penegak hukum untuk hadir rutin di sekolah dan memberi pembinaan.

""Jadi harus ada tindakan preventif juga, kalau misalnya pendidikan karakter di barak militer itu tindakan penegakkan, harus ada tindakan preventif ke sekolah. Saya yakin itu lebih efektif dari sekedar memasukkan mereka ke barak militer,"" ungkap Ono.

Ono juga menyoroti salah satu klasifikasi siswa yang dianggap nakal dalam SE Nomor: 43/PK.03.04/KESRA di mana salah satu kategori kenakalan ialah mereka yang sering bermain game. Menurut Ono, harus ada tahapan pembinaan yang dilakukan sebelum membawa siswa ke barak.

""Saya lebih cenderung di sekolah dulu. Setelah masih ada anak yang nakal, ke panti rehab dulu. Jadi yang pertama sekolah dimaksimalkan, orang tua, panti rehab, baru masuk barak militer,"" terangnya.

""Harusnya ada tahapan itu, tidak seketika pemain Mobile Legends langsung dimasukkan ke barak, kan gak tepat menurut saya,"" tutup Ono.",Rabu,07 Mei  2025,17:30 WIB,detikEdu,Edutainment,https://www.detik.com/edu/edutainment/d-7903898/anggaran-pendidikan-karakter-di-barak-militer-capai-rp-6-m-begini-tanggapan-dprd-jabar,KDM barak militer
Mengintip 16 Siswa SMP Kerjakan UAS di Barak Militer,"16 dari 39 siswa yang mengikuti pendidikan semi-militer di Resimen Armed 1 Sthira Yudha Purwakarta harus melaksanakan Ujian Akhir Sekolah (UAS) di dalam barak. Mereka yang duduk di bangku kelas 9 SMP tetap melaksanakan pendidikan formal meski dalam pemusatan pendidikan berkarakter.

Ruangan yang biasa mereka gunakan untuk pendidikan berkarakter digunakan menjadi ruangan ujian lengkap dengan fasilitasnya, sehingga peserta ujian dapat melaksanakan ujian dengan nyaman. Sementara 23 siswa lainnya tengah melatih kemandirian dengan latihan taekwondo.

Kepala Dinas Pendidikan (Kadisdik) Purwakarta, Purwanto mengatakan, kegiatan ini tidak hanya bertujuan untuk menghadirkan suasana belajar yang berbeda, tetapi juga menanamkan nilai kedisiplinan dan kemandirian.

SCROLL TO CONTINUE WITH CONTENT

""Mereka tetap belajar. Ujian tetap berjalan seperti biasa. Soal dibawa langsung oleh guru ke barak. Bahkan malam sebelumnya para guru memberikan bimbingan intensif untuk persiapan ujian hari ini, termasuk untuk mata pelajaran Bahasa Indonesia dan Pendidikan Agama Islam,"" ujar Purwanto ditemui di kantornya, Senin (5/5/2025).

Siswa diberikan ruangan yang nyaman untuk mengerjakan UAS. Di hari pertama ujian, para siswa mengerjakan ujian dengan mata pelajaran Agama Islam dan Bahasa Indonesia.

""Suasana ujiannya nyaman, makanannya juga enak. Anak-anak tetap semangat belajar meskipun ujian dilakukan di luar lingkungan sekolah,"" katanya.

",Senin,05 Mei  2025,12:00 WIB,detikJabar,Berita,https://www.detik.com/jabar/berita/d-7899653/mengintip-16-siswa-smp-kerjakan-uas-di-barak-militer,KDM barak militer
Tangis Ortu Iringi Keberangkatan 29 Siswa Purwakarta ke Barak Militer,"Sebanyak 29 siswa tingkat SMA/SMK sederajat dari berbagai sekolah di Kabupaten Purwakarta diberangkatkan menuju barak militer Rindam III/Siliwangi, Kota Bandung, Senin (5/5/2025). Mereka akan mengikuti program pendidikan karakter yang dilatih langsung oleh prajurit TNI selama dua pekan ke depan.

PantauandetikJabar, para calon peserta sudah mulai berdatangan sejak pukul 05.30 WIB ke Markas Kodim 0619 Purwakarta. Mengenakan seragam kemeja putih dan celana hitam, mereka membawa tas ransel hingga koper, lalu membentuk barisan dengan tertib.

Sebelum diberangkatkan, para siswa telah melalui proses verifikasi yang mencakup pemeriksaan kesehatan, kelengkapan administrasi, serta persetujuan dari pihak orang tua dan siswa itu sendiri. Beberapa orang tua bahkan secara sukarela mengajukan agar anaknya ikut serta dalam program ini, berharap ada perubahan positif.

SCROLL TO CONTINUE WITH CONTENT

Momen haru mewarnai pelepasan tersebut. Sejumlah orang tua terlihat menitikkan air mata saat melepas anak-anaknya. Harapan besar dan doa menyertai kepergian mereka, agar sang anak bisa berubah menjadi pribadi yang lebih baik dan disiplin.

Salah satu orang tua, Dadan, mengaku sudah kehabisan cara untuk mendidik anaknya. Ia berharap melalui pelatihan militer ini, anaknya dapat berubah.

""Mendukung sangat mendukung, karena saya selaku orang tua sedikit merasa lelah terkait kenakalan anak, bicaranya anak sendiri ya. Begadang terus bangun siang jadi bolos sekolah, ngerokok,"" ujar Dadan saat mengantar anaknya ke Makodim 0619 Purwakarta, Senin (05/05/2025).

Bupati Purwakarta, Saepul Bahri Binzein, menjelaskan peserta program ini adalah siswa-siswa yang mengalami berbagai permasalahan perilaku. Mulai dari kebiasaan begadang, membolos sekolah, pergaulan bebas, merokok, hingga mengonsumsi minuman keras.

""Yang dibawa ke sini itu memang sudah tidak bisa ditangani oleh orang tua dan sekolahnya. Rata-rata mereka suka begadang, pagi susah bangun, bolos sekolah, nongkrong, bahkan ada yang mabuk. Orang tuanya pun sudah kewalahan,"" ujar Saepul.

Ia menambahkan, jumlah peserta yang berangkat ini merupakan hasil seleksi dari banyaknya permintaan orang tua yang ingin anaknya mendapat pendidikan karakter langsung dari TNI.

""Banyak yang mengirimkan pesan baik ke layanan masyarakat di Pemda ada yang datang ke Kodim datang ke resimen meminta anaknya untuk dididik,"" pungkasnya.",Senin,05 Mei  2025,10:05 WIB,detikJabar,Berita,https://www.detik.com/jabar/berita/d-7899617/tangis-ortu-iringi-keberangkatan-29-siswa-purwakarta-ke-barak-militer,KDM barak militer
,"Ketua Komnas HAM Atnike Nova Sigiro menilai kebijakan Gubernur Jawa Barat Dedi Mulyadi mengirim siswa nakal ke barak TNI tidaklah tepat. Sementara, Menteri HAM Natalius Pigai menilai kebijakan tersebut tak melanggar HAM.",,,,,,https://20.detik.com/detikupdate/20250506-250506128/video-komnas-ham-nilai-barak-militer-tak-tepat-menteri-ham-bilang-begini,KDM barak militer
