judul,sub_judul,isi,tanggal,jam,kategori
"Belum Sepekan Prabowo Canangkan Target Zero Accident, Keracunan Makanan MBG Terulang",210 siswa TK hingga SMP di Kota Bogor mengalami gejala keracunan usai konsumsi MBG pada 11 Mei 2025. Belum sepekan Prabowo bilang zero accident.,"TEMPO.CO,Jakarta-PresidenPrabowoSubianto mengeluarkan arahan tegas kepada Badan Gizi Nasional (BGN) dan seluruh jajaran terkait untuk meningkatkan ketelitian serta ketepatan dalam pelaksanaan program Makan Bergizi Gratis (MBG). Instruksi ini disampaikan akibat maraknya laporan kasus dugaan keracunan MBG di berbagai daerah sejak program ini diterapkan pada awal 2025.

Arahan tersebut disampaikan Prabowo dalam rapat koordinasi terbatas yang berlangsung pada Sabtu, 3 Mei 2025, di Hambalang, Kabupaten Bogor, Jawa Barat. Rapat tersebut juga dihadiri oleh Menteri Pertahanan Sjafrie Sjamsoeddin, Menteri Sekretaris Negara Prasetyo Hadi, dan Sekretaris Kabinet Teddy Indra Wijaya.

Baca Juga:Akuntabilitas Kunci Keberhasilan Makan Bergizi Gratis",17 Mei 2025,07.46 WIB,Politik
3 Penyebab Keracunan Makanan di Program Makan Bergizi Gratis Versi BPOM,BPOM menyebut ada tiga penyebab keracunan dalam program Makan Bergizi Gratis (MBG). Apa saja?,"TEMPO.CO,Jakarta- Kepala Badan Pengawas Obat dan Makanan atauBPOMTaruna Ikrar menyebut ada tiga penyebabkeracunan makanandalam programMakan Bergizi Gratis. Temuan ini terungkap setelah BPOM mengidentifikasi 17 kejadian luar biasa keracunan yang berkaitan dengan program tersebut dan kasus-kasus itu tersebar di 10 provinsi.

Adapun ketiga penyebab keracunan dalam program MBG di antaranya karena kontaminasi, pertumbuhan dan perkembangan bakteri, serta kegagalan pengendalian keamanan pangan. Hal itu kemudian menjadi bahan evaluasi guna perbaikan program.

""Dan dengan konteks tersebut, kontaminasi yang terlihat, yaitu ada kontaminasi awal pangan dengan sumber kontaminasi bahan mentah, lingkungan pengolah/penjamin,"" kata Taruna saat rapat bersama DPR di Jakarta, Kamis, 15 Mei 2025 seperti dikutip Antara.

Taruna mengatakan, untuk pertumbuhan dan perkembangan bakteri disebabkan karena suhu dan waktu, kondisi makanan, serta proses pengolahan. Contohnya, kata dia, ada makanan yang dimasak terlalu cepat namun distribusinya tertunda, sehingga saat dikonsumsi oleh anak-anak, makanan tersebut telah terkontaminasi dan menyebabkan keracunan.

""Kemudian ada hal yang perlu kita perhatikan betul tentang kegagalan pengendalian keamanan pangan yang hubungannya dengan hygiene-sanitasi. Nah ini perlu kami jelaskan karena sebagian mungkin dapurnya itu perlu dievaluasi, perlu diperbaiki,"" katanya.",16 Mei 2025,12.56 WIB,Pendidikan
Kata Badan Gizi Soal Belum Melibatkan BPOM di Makan Bergizi Gratis,BGN mengklaim akan memperkuat kerja sama dengan BPOM ihwal pengawasan Program Makan Bergizi Gratis.,"TEMPO.CO,Jakarta- KepalaBadan Gizi NasionalDadan Hindayana mengatakan akan memperkuat kerja sama dengan Badan Pengawas Obat dan Makanan atauBPOMserta Menteri Kesehatan untuk mengawasi programMakan Bergizi Gratis. ""Khususnya tentang kualitas dan mutu pangan serta penanggulangan kejadian luar biasa,"" kata Dadan melalui pesan singkat pada Kamis, 15 Mei 2025.

Dadan berujar saat ini Badan Gizi sudah memiliki nota kesepahaman dengan BPOM terkait koordinasi pengawasan program makan bergizi gratis. Selain itu, kata dia, pengawasan tentang keamanan pangan juga diatur dalam Peraturan Pemerintah Nomor 86 Tahun 2019.

Dalam peraturan tersebut, Dadan menyebut pengawasan terhadap pemenuhan persyaratan keamanan pangan, mutu pangan, dan gizi pangan untuk pangan olahan siap saji dilaksanakan oleh BPOM dan bupati/wali kota sesuai kewenangannya. Dia menilai BPOM juga memiliki mandat pengawasan pangan, termasuk MBG, melalui PP Nomor 86 Tahun 2019 itu.

Dadan berujar BPOM juga patut mendapat dana lebih untuk melaksanakan pengawasan Program MBG. ""Dalam program MBG ini BPOM perlu mendapatkan porsi anggaran tambahan untuk dukungan program MBG,"" ucap Dadan.

Kepala BPOM Taruna Ikrar sebelumnya mengungkapkan Badan Gizi Nasional belum melibatkan secara penuh lembaganya dalam mengawasi keamanan program unggulan Presiden Prabowo itu. Padahal, kata Taruna, BPOM dan Badan Gizi memiliki nota kesepahaman untuk pengawasan program makan gratis untuk siswa sekolah tersebut.",15 Mei 2025,21.24 WIB,Politik
BPOM Belum Dilibatkan Mengawasi Produksi Makan Bergizi Gratis,Tidak ditemukan,Tidak ditemukan,15 Mei 2025,19.00 WIB,Video
BPOM Catat 17 Kejadian Luar Biasa Kasus Keracunan MBG sejak Januari,BPOM mencatat ada 17 kejadian luar biasa keracunan MBG di sepuluh provinsi yang teridentifikasi sejak Januari 2025.,"TEMPO.CO,Jakarta- Badan Pengawas Obat dan Makanan (BPOM) mencatat 17 kejadian luar biasa terkait dengan keracunan Makan Bergizi Gratis (MBG) sejak peluncuran program tersebut pada 6 Januari 2025. Kepala BPOM Taruna Ikrar mengatakan kejadian-kejadian itu terjadi di sepuluh provinsi Indonesia.

Pilihan editor:Desain Ulang Gudang Amunisi TNI Setelah Ledakan Garut

Taruna menyampaikan catatan tersebut dalam rapat bersama Komisi IX DPR RI pada Kamis, 15 Mei 2025. Kejadian keracunan makanan itu terjadi dalam lima bulan terakhir. ""Menurut data yang kami miliki ada 17 kejadian luar biasa keracunan pangan terkait dengan MBG di sepuluh provinsi yang teridentifikasi,"" kata Taruna di kompleks parlemen Senayan, Jakarta.

Taruna mengatakan sejumlah penyebab keracunan pangan dari program yang diluncurkan Presiden Prabowo Subianto itu. Salah satunya, kata dia, adalah kontaminasi pangan yang terjadi kepada bahan baku mentah.

Kontaminasi itu kemungkinan terjadi saat pengolahan atau penyimpanan makanan. ""Dengan sumber kontaminasi bahan mentah di lingkungan pengelola, penjamin, dan kami belajar dari kondisi ini supaya berikutnya tidak terjadi lagi,"" ucap dia.",15 Mei 2025,17.48 WIB,Pendidikan
BPOM Ungkap Penyebab Keracunan pada Menu MBG,"Berdasarkan data per 6 Januari hingga 12 Mei 2025, BPOM mencatat ada 17 insiden keracunan dalam program Makan Bergizi Gratis (MBG) di 10 provinsi","TEMPO.CO,Jakarta-Badan Pengawas Obat dan Makanan (BPOM) mengidentifikasi sejumlah faktor utama yang menjadi penyebab kasus keracunan dalam program Makan Bergizi Gratis (MBG). Berdasarkan data per 6 Januari hingga 12 Mei 2025, BPOM mencatat ada 17 insiden keracunan MBG di 10 provinsi.

Kepala BPOM Taruna Ikrar menjelaskan penyebab keracunan MBG disebabkan kontaminasi sejak awal, baik pada bahan makanan mentah maupun saat proses pengolahan dan penyimpanan. Dia mengatakan lingkungan tempat pengelolaan pangan juga turut berkontribusi terhadap potensi kontaminasi ini.

Menurutnya, kondisi ini perlu menjadi pembelajaran agar kejadian serupa tidak kembali terjadi. “Dengan sumber kontaminasi bahan mentah lingkungan pengelola, kejadian keracunan ini diharapkan tidak terjadi lagi,"" kata Ikrar dalam rapat dengar pendapat bersama Komisi IX DPR, Kamis, 15 Mei 2025.

Penyebab kedua, kata Ikrar, yakni pertumbuhan bakteri akibat penyimpanan makanan dalam kondisi yang tidak sesuai. Waktu dan suhu menjadi faktor penting yang memengaruhi berkembangnya mikroorganisme penyebab keracunan.

Ia mencontohkan, ada makanan yang dimasak terlalu cepat tetapi distribusinya lambat. Hal ini memungkinkan bakteri berkembang dan menimbulkan keracunan, khususnya pada anak-anak.",15 Mei 2025,13.23 WIB,Bisnis
Desa Panongan Jadi Percontohan Nasional BUMDes Pengelola Dapur MBG,"Desa Panongan, Kecamatan Panongan, Kabupaten Tangerang menjadi percontohan nasional Badan Usaha Milik Desa (BUMDes) dalam pengelolaan SPPG.","TEMPO.CO,Tangerang- Desa Panongan, Kecamatan Panongan, Kabupaten Tangerang, menjadi percontohan nasional Badan Usaha Milik Desa (BUMDes) dalam pengelolaan dapur Satuan Pelayanan Pemenuhan Gizi (SPPG) untuk programMakan Bergizi Gratis.

Peresmian dapurSPPGini dilakukan langsung  Menteri Desa dan Pembangunan Daerah Tertinggal Yandri Susanto bersama Bupati Tangerang Moch. Maesyal Rasyid pada Rabu, 14 Mei 2025.

Bupati Tangerang Moch. Maesyal Rasyid mengatakan peresmian dapur SPPG Desa Panongan ini menandai langkah kongkret pemerintah dalam mendukung program Makan Bergizi Gratis (MBG) yang dicanangkan Presiden Prabowo Subianto.

""Kami mengucapkan terima kasih atas dipilihnya Desa Panongan sebagai lokus percontohan nasional kolaborasi Bumdes dan Koperasi Merah Putih dalam pelaksanaan program MBG,"" kata Maesyal.

Terpilihnya Desa Panongan sebagai pilot proyek nasional merupakan kolaborasi antara BUMDes danKoperasi Desa Merah Putihuntuk mendukung program Makan Bergizi Gratis.",14 Mei 2025,17.01 WIB,Bisnis
Ini Penyebab Keracunan Makan Bergizi Gratis di Bogor,Penyebab ratusan siswa dari TK-SMA keracunan Makan Bergizi Gratis adalah adanya bakteri salmonella dan E. Colli dalam bahan baku yang digunakan.,"TEMPO.CO,Jakarta- Kepala Badan Gizi Nasional (BGN) Dadan Hindayana membeberkan penyebab ratusan siswa di Bogor keracunan seusai menyantap menuMakan Bergizi Gratis(MBG) yang disajikan di sekolah. Per 11 Mei 2025, terdapat 210 siswa yang dilaporkan mengalami gejala keracunan.

Pilihan editor:Mengapa Kejaksaan Meminta Pengamanan kepada TNI, Bukan Polri?

Mulanya, Dadan menjelaskan bahwa insiden keracunan di Bogor ini merupakan kasus baru. Berbeda dengan yang pernah terjadi di Cianjur atau daerah lainnya, gejala keracunan baru dirasakan berselang sehari hingga dua hari setelah siswa menyantap makanan MBG.

""Jadi terjadislow reaction. Makannya Selasa, tapi reaksinya baru diketahui rabu Kamis dan Jumat,"" ujar Dadan saat jumpa pers di Gedung Ombudsman, Jakarta, Rabu, 14 Mei 2025.

Setelah dilakukan uji laboratorium pada sampel makanan, diketahui bahwa penyebab ratusan siswa dari TK hingga SMA itu keracunan adalah adanya bakterisalmonelladanE. Collidalam bahan baku yang digunakan seperti telur dan sayuran.",14 Mei 2025,12.35 WIB,Pendidikan
BGN Bilang Tanggung Biaya Pengobatan Siswa Keracunan MBG di Bogor,Tigor menyebut BGN tidak akan segan memutus kerja sama dengan pemasok bahan makanan tersebut apabila terbukti ada ketidaksegaran makanan MBG.,"TEMPO.CO,Jakarta-Deputi Bidang Sistem Tata Kelola Badan Gizi Nasional (BGN) Tigor Pangaribuan mengatakan pemerintah akan menanggung seluruh biaya pengobatan ratusan siswa yang keracunan usai menyantap makan bergizi gratis (MBG) di Bogor, Jawa Barat.

""Korban diberikan asuransi untuk membayar biaya kesehatannya dan kami bekerja sama dengan puskesmas menanggung seluruh biaya pengobatan itu,"" ujar dia melalui keterangan tertulis, dikutip pada Selasa, 13 Mei 2025.

Sebagai bentuk evaluasi, Tigor mengatakan pihaknya juga telah melakukan uji laboratorium guna memastikan penyebab keracunan, dan memberikan teguran keras kapada Kepala Satuan Pelayanan Pemenuhan Gizi (SPPG) setempat. BGN juga akan memberikan pelatihan ulang kepada seluruh pegawai di SPPG tersebut.

""Terutama bagian penjamah makanan, guna mencegah tidak terjadi lagi keracunan akibat makan bergizi gratis,"" tuturnya.

Tak hanya itu, Tigor menyebut BGN tidak akan segan memutus kerja sama dengan pemasok bahan makanan tersebut apabila terbukti ada ketidaksegaran makanan atau kejanggalan lainnya.",13 Mei 2025,16.05 WIB,Pendidikan
BGN Klaim Program MBG bakal Membuka 90 Ribu Lapangan Kerja untuk Sarjana,BGN menyebut program MBG berpeluang membuka hingga 90 ribu lapangan kerja.,"TEMPO.CO,Jakarta- Badan Gizi Nasional (BGN) menyebut pelaksanaan Program Makan Bergizi Gratis atauMBGberpeluang membuka lapangan kerja. Deputi Bidang Sistem dan Tata Kelola BGN Tigor Pangaribuan memproyeksikan MBG akan membuka hingga 90 ribulowongan kerjauntuk ditempatkan di 30 ribu Satuan Pelayanan Pemenuhan Gizi (SPPG) di seluruh Indonesia.

""Jadi, tadi kepala unit (SPPG), nah itu ada 30 ribu yang bekerja. Otomatis sudah kami rekrut 30 ribu sarjana (SPPI) di Indonesia untuk jadi kepala. Jadi, 90 ribu lapangan pekerjaan terbuka buat sarjana-sarjana yangfresh graduate,"" kata dia dalam keterangan tertulis, dikutip Selasa, 13 Mei 2025.

Tigor menjelaskan di dalam struktural SPPG, ada tiga lulusan sarjana yang dibutuhkan, baik untuk mengisi posisi sebagai Kepala SPPG, ahli gizi, hingga akuntan dengan rentang usia 22 hingga 30 tahun.

""Jadi, satu ahli gizi per satu SPPG, berarti 30 ribu ahli gizi nanti. Plus satu lagi nanti itu akuntan lulusan akuntansi per satu satuan pelayanan. Itulah yang nanti ada di seluruh provinsi di Indonesia, sebanyak 30 ribu,"" tutur dia.

Dengan terbukanya lapangan pekerjaan, menurut Tigor, program MBG juga akan menggerakan perekonomian nasional. Dia menilai keberadaan SPPG untuk program MBG membuat para petani menjadi semangat, lantaran hasil produksi petani dibutuhkan sebagai bahan baku.",13 Mei 2025,16.05 WIB,Bisnis
Badan Gizi Kaji Pemberian Asuransi Bagi Korban Keracunan Makan Bergizi Gratis,Badan Gizi Nasional masih mengkaji opsi asuransi bagi korban keracunan Makan Bergizi Gratis (MBG).,"TEMPO.CO,Jakarta- Deputi Sistem dan Tata Kelola Badan Gizi Nasional (BGN) Tigor Pangaribuan mengatakan mereka sedang mengodok skema jaminan asuransi untuk penerima manfaat programMakan Bergizi Gratisyang menjadi korban keracunan program andalan Presiden Prabowo Subianto itu.

Pilihan editor:Cara Kerja Biometrik Mata Worldcoin untuk Dompet Digital

“Kami sedang memikirkan penerima manfaat, tentu asuransinya harus kami buat sebagai bagian dari biaya operasional. Itu yang sekarang kami pikirkan,” kata dia di Menteng, Jakarta, Sabtu, 10 Mei 2024.

Tigor mengatakan opsi asuransi itu masih dikaji. BGN, kata Tigor, tidak mau pemberian asuransi mengurangi alokasi harga pangan. “Nah ini operasionalnya juga kami harus hitung dengan cermat,” kata dia.

Namun, sebelum memberikan asuransi kepada korban, BGN akan lebih dahulu melakukan evaluasi. Evaluasi dilakukan dengan membawa makanan yang diduga sumber keracunan untuk dilakukan uji laboratorium. BGN ingin mengetahui sumber keracunan dari makanan atau sumber lain.",10 Mei 2025,17.21 WIB,Pendidikan
Zulhas Sebut Tata Kelola Makan Bergizi Gratis Bakal Diperbaiki: Bidik Nol Insiden,Zulhas mengatakan program Makan Bergizi Gratis melibatkan begitu banyak pekerjaan.,"TEMPO.CO,Jakarta- Pemerintah akan memperbaiki tata kelola programMakan Bergizi Gratisusai evaluasi belum meratanya program dan temuan kasus keracunan di sejumlah daerah. Dengan perbaikan tata kelola ini, pemerintah menargetkan jumlah insiden dapat ditekan.

Menteri Koordinator Bidang Pangan Zulkifli Hasan mengatakan menerima laporan dariBadan Gizi Nasionalihwal insiden di program andalan Presiden Prabowo Subianto ini. Kendati menyebut persentase insiden hanya 0,005 persen dari 3,4 juta orang, tata kelola Makan Bergizi Gratis tetap akan diperbaiki. “Ini akan lebih diperhatikan sehingga targetnya itu nol insiden,” ujarZulhassaat ditemui di Kantor Kementerian Koordinator Bidang Pangan, Jakarta, Jumat, 9 Mei 2025.

Ketua Umum Partai Amanat Nasional ini mengatakan, tata kelola Makan Bergizi Gratis akan terus-menerus disempurnakan. Sebab, program ini melibatkan begitu banyak pekerjaan. Perbaikan tata kelola dan minimalisasi insiden bertujuan mencapai target 82,9 juta penerima manfaat.

Untuk merumuskan tata kelola ini, Zulhas menyebut para eselon satu kementerian terkait akan didukung oleh semuastakeholder. Misalnya, Kementerian Keuangan dilibatkan agar anggaran lancar dan Kementerian Pendayagunaan Aparatur Negara/Reformasi Birokrasi dilibatkan untuk menyuplai kebutuhan tenaga.

Ia menambahkan, pemerintah daerah termasuk bupati dan gubernur akan turun tangan mendukung program ini. “Ini harus dirumuskan peran itu karena ini program utama, bahwa ini sangat mendesak-penting. Nah nanti akan dirumuskan dalam peraturan presiden atau instruksi presiden,” ujar eks Menteri Perdagangan ini.",10 Mei 2025,15.20 WIB,Bisnis
"Dugaan Penggelapan Dana MBG, Pihak Dapur Klaim Selalu Setor Bon Belanja","Dapur umum mitra Makan Bergizi Gratis (MBG) di Kalibata mengklaim selalu menyerahkan bukti belanja, tapi tak kunjung menerima bayaran.","TEMPO.CO,Jakarta- Ira Mesra Destiawati, pemilik dapur umum mitra program makan bergizi gratis (MBG) di Kalibata, mengklaim rutin menyetor bon belanja ke Yayasan Media Berkat Nusantara (MBN) setiap hari

Kuasa hukum Ira, Danna Harly, menuturkan pihaknya mempertanyakan keharusan penyerahan bon sebagai syarat penggantian dana. Menurut dia, dalam perjanjian kerja sama tidak disebutkan keharusan itu. “Kami enggak diminta untuk berikan bon-bon, karena kami cuma diminta untuk masak,” ujarnya, Rabu, 7 Mei 2025.

Selain ke yayasan, bukti belanja juga diserahkan ke Satuan Pelayanan Pemenuhan Gizi (SPPG) Kalibata dan Badan Gizi Nasional (BGN). Danna menyebut pihaknya belum bisa menghitung total bon belanja yang telah diserahkan karena jumlahnya cukup banyak.

Yayasan MBN sejauh ini sudah membayar sekitar Rp 375 juta kepada pihak dapur. Jumlah itu masih kurang dari nilai yang ditagih oleh pihak dapur, sekitar Rp 975 juta.Sebelumnya, Yayasan MBN mengaku siap membayar tunggakan dana kepada dapur Ira. Hanya saja, mereka mensyaratkan pihak dapur menyerahkan bon sesuai nilai yang ditagihkan.Kuasa hukum yayasan MBN, Timoty Ezra Simanjuntak, mengatakan pihak dapur baru menyerahkan bon senilai Rp 70 juta dari jumlah yang ditagih sebesar Rp 975 juta. ”Kami minta bukti bon pembelian bahan baku, tenaga kerja, itu yang belum ada,” ujar Timoty saat ditemui di Polres Jakarta Selatan, Senin malam, 5 Mei 2025.Timothy menuturkan skema pembayaran program MBG menggunakan sistem reimbursement atau penggantian biaya. “Kalau sudah beli, dapat bon, bayar, terus kamireimburse. Nah, data pendukungnya mana? Enggak mungkin kami langsung asal bayar,” katanya.

Kasus antara kedua pihak ini berawal ketika Ira melaporkan pihak Yayasan MBN kepada Polres Jakarta Selatan dengan tuduhan penipuan dan penggelapan. Laporan itu terdaftar dengan nomor: LP/B/1160/IV/2025/SPKT/POLRES METRO JAKSEL/POLDA METRO JAYA.Pihak dapur mengklaim belum menerima pembayaran dari yayasan sejak dapur beroperasi pada Februari 2025. Total kerugian sebesar Rp 975.375.000 atau hampir Rp 1 miliar. Harly membeberkan angka itu dihitung dari sekitar 65.025 porsi MBG yang dimasak dalam dua tahap oleh kliennya.",10 Mei 2025,11.02 WIB,Kriminal
"Zulhas Klaim Angka Keracunan Makan Bergizi Gratis Kecil: 1-2 Orang dari 3,4 Juta","Zulhas mengatakan program Makan Bergizi Gratis sejauh ini telah berjalan baik, meski masih ada catatan-catatan kecil dari Badan Gizi Nasional (BGN).","TEMPO.CO,Jakarta- Menteri Koordinator Bidang Pangan Zulkifli Hasan atauZulhasmengevaluasi pelaksanaan programMakan Bergizi Gratisdalam rapat koordinasi tingkat menteri di Graha Mandiri, Jakarta, Jumat, 9 Mei 2025. Evaluasi itu buntut belum meratanya program dan temuan kasus keracunan di sejumlah daerah.

Ketua Umum Partai Amanat Nasional (PAN) ini mengatakan, Makan Bergizi Gratis sejauh ini telah berjalan baik, meski masih ada catatan-catatan kecil dari Badan Gizi Nasional (BGN). Ia mengatakan pemerintah akan bekerja keras agar insiden serupa tak terulang.

Tapi Zulhas mengklaim angka kasus itu sangat kecil. Secara persentase, bahkan di bawah satu persen. “Satu orang, dua orang dari 3,4 juta. Ini kami evaluasi dan akan bekerja keras agar tidak terjadi, walaupun secara presentase sangat kecil, 0,005 persen,” ujarnya usai rapat.

Presiden Prabowo Subianto sebelumnya juga mengklaim angka kasus keracunan program makan bergizi gratis lebih kecil dibandingkan angka penerima manfaat. Angka kasus keracunan makanan bergizi sekitar 200 dari 3 juta penerima manfaat.

""Dari 3 koma sekian juta, kalau tidak salah di bawah 200 orang (yang keracunan),"" ujar Prabowo dalam sidang kabinet paripurna di Kantor Presiden, Kompleks Istana Negara, Jakarta, Senin, 5 Mei 2025.",9 Mei 2025,19.04 WIB,Bisnis
Evaluasi Proyek Makan Bergizi Gratis. Dari Mana Mulainya?,Sudah saatnya program makan bergizi gratis dievaluasi menyeluruh. Mulai dari mana?,"SEPERTI diperkirakan banyak orang, program prioritas pemerintahmakan bergizi gratis(MBG) menghadapi masalah serius. Persoalan yang pasti timbul adalah keracunan makanan akibat buruknya mutu menu, keterlambatan pembayaran atau dapur atau petugas pelaksana, serta terbukanya peluang korupsi karena tata kelola yang buruk. Belum lagi matinya usaha kecil dan menengah kantin di sekolah.",9 Mei 2025,06.00 WIB,Pendapat
Lenis Kogoya Klaim Penolakan MBG di Papua Dipicu Isu Hoaks,"""Muncul isu dari salah satu saudara saya sendiri bahwa makanan itu diracuni,"" ujar Lenis Kogoya.","TEMPO.CO,Jakarta- Staf Khusus Menteri Pertahanan Bidang Kedaulatan Negara Kesatuan Republik Indonesia (NKRI)Lenis Kogoyamenyatakan penolakan terhadap program Makan Bergizi Gratis (MBG) di Papua dipicu oleh penyebaran isu menyesatkan di tengah masyarakat. Hal itu disampaikannya di Balai Media, Kementerian Pertahanan, Jakarta Pusat, Kamis, 8 Mei 2025.

Lenis menyesalkan adanya narasi yang menimbulkan ketakutan dan ketidakpercayaan terhadap program pemerintah. ""Awalnya masyarakat sudah mulai menerima makanan dan program berjalan. Tapi muncul isu dari salah satu saudara saya sendiri bahwa makanan itu diracuni,"" ujar Lenis saat ditemui di Kemenhan, Kamis, 8 Mei 2025.

Lenis menganggap, isu racun tersebut tidak berdasar dan telah mempengaruhi persepsi sebagian wargaPapuaterhadap program nasional yang dirancang untuk meningkatkan kualitas gizi pelajar.

ProgramMakan Bergizi Gratismerupakan inisiatif pemerintah yang dianggap untuk memperbaiki gizi anak-anak sekolah dan meningkatkan semangat belajar. Namun, di Papua Pegunungan, program ini mendapat penolakan. Pada Senin, 17 Februari 2025, ribuan pelajar dari SMP, SMA, dan mahasiswa menggelar aksi demonstrasi di Wamena, Kabupaten Jayawijaya, Provinsi Papua Pegunungan. Pihak kepolisian memperkirakan sekitar 3.500 pelajar terlibat, berasal dari Jayawijaya dan Yahukimo.

Menurut Lenis, setelah ia melakukan kunjungan langsung ke beberapa wilayah yang sempat menolak program—seperti Timika, Nabire, dan Jayapura—respons masyarakat berubah positif.",8 Mei 2025,21.31 WIB,Pendidikan
Soal Uji Organoleptik yang Diwajibkan BGN untuk Cegah Keracunan Makanan MBG Terulang,Badan Gizi Nasional (BGN) mewajibkan berbagai pihak yang terlibat dalam proyek Makan Bergizi Gratis (MBG) lakukan uji organoleptik. Apakah itu?,"TEMPO.CO,Jakarta-Badan Gizi Nasional (BGN) memperketat prosedur distribusi Program Makan Bergizi Gratis (MBG) menyusul kembali terjadinya kasus keracunan makanan massal di sejumlah daerah. Salah satu langkah utama yang kini diwajibkan adalah pelaksanaan uji organoleptik, yakni penilaian kualitas makanan berdasarkan pengamatan indra seperti tampilan, aroma, rasa, dan tekstur.

“Sebagai langkah korektif dan preventif,BGNsegera melakukan pengetatan terhadap prosedur distribusi makanan,” kata Kepala BGN Dadan Hindayana dalam keterangan resmi di Jakarta, Sabtu, 3 Mei 2025.

Menurut Dadan, ada lima aspek yang kini menjadi fokus pengawasan baru BGN. Pertama, memperkuat protokol keamanan dalam proses pengantaran makanan dari dapur ke sekolah. Kedua, menetapkan batas maksimum waktu pengiriman untuk memastikan makanan tetap layak konsumsi.

Ketiga, memperketat mekanisme distribusi di sekolah, termasuk aspek penyimpanan hingga penyerahan kepada siswa. Keempat, menetapkan batas toleransi waktu antara makanan diterima dan dikonsumsi. Kelima, dan yang paling menonjol, adalah mewajibkan uji organoleptik terhadap semua makanan sebelum dibagikan.

Ujiorganoleptikadalah metode pengujian makanan yang dilakukan menggunakan indra manusia, seperti penglihatan, penciuman, pengecap, dan peraba. Penilaian ini bertujuan mendeteksi perubahan kualitas makanan yang bisa menjadi indikator awal makanan tak layak konsumsi.

Penilaian ini bersifat subjektif, karena didasarkan pada persepsi individu terhadap kesegaran dan kelayakan makanan.",8 Mei 2025,17.49 WIB,Kesehatan
Kasus Keracunan Makanan MBG dan Respons Prabowo Soal Target Zero Accident,Beragam kasus keracunan makanan MBG terjadi di beberapa daerag. Bagaimana Prabowo menyikapinya?,"TEMPO.CO,Jakarta- PresidenPrabowoSubianto menyampaikan arahan tegas kepada Badan Gizi Nasional (BGN) dan seluruh jajaran terkait untuk meningkatkan ketelitian dan ketepatan dalam pelaksanaan program Makan Bergizi Gratis (MBG). Arahan tersebut disampaikan menyusul sejumlah laporan mengenai kasus dugaan keracunan makanan yang terjadi di berbagai daerah sejak program ini mulai dijalankan pada awal tahun 2025.

Arahan tersebut disampaikan Prabowo dalam sebuah rapat koordinasi terbatas yang digelar pada Sabtu, 3 Mei 2025, di Hambalang, Kabupaten Bogor, Jawa Barat. Dalam pertemuan tersebut, turut hadir Menteri Pertahanan Sjafrie Sjamsoeddin, Menteri Sekretaris Negara Prasetyo Hadi, serta Sekretaris Kabinet Teddy Indra Wijaya.

Baca Juga:Dua Cara Menggugat Keracunan Makanan MBG",8 Mei 2025,17.26 WIB,Pendidikan
Mitra Dapur Makan Bergizi Gratis Kalibata Siap Konfrontasi dengan Yayasan,Dapur umum milik Ira Mesra Destiawati kembali diperiksa oleh Polres Metro Jakarta Selatan dalam kasus dugaan penyelewengan dana makan bergizi gratis.,"TEMPO.CO,Jakarta- Pihak dapur umum milik Ira Mesra Destiawati yang menjadi mitra program Makan Bergizi Gratis (MBG) mengaku siap berhadapan dengan Yayasan Media Berkat Nusantara (MBN) dalam pemeriksaan. Kuasa hukum pihak dapur menyambut kemungkinan adanya pemeriksaan konfrontasi.

Kuasa hukum Ira Mesra Destiawati, Danna Harly, mengatakan bukti-bukti dari pihak dapur sudah jelas. “Ya, siaplah. Kami sudah jelas, kok. Satu Indonesia juga sudah melihat kalau yayasan ini salah,” kata dia saat dihubungi lewat telepon, Rabu malam, 7 Mei 2025.

Menurutnya, Yayasan MBN melakukan kesalahan dengan mengambil keuntungan sebesar Rp 2.500 dari tiap porsi makan bergizi yang disajikan oleh dapur. “Memang enggak boleh, kok, (memotong) Rp 2.500,” ujarnya.

Adapun konfrontasi dalam penyidikan adalah ketika penyidik mempertemukan saksi dengan saksi atau saksi dengan tersangka untuk kepentingan pembuktian. Dengan metode ini, penyidik wajib menghindarkan terjadinya konflik antara pihak yang dipertemukan. Dalam menguji kesesuaian keterangan para saksi atau tersangka, penyidik dapat melakukan rekonstruksi.

Pemeriksaan konfrontasi diatur dalam Pasal 24 ayat (1) (2) dan (3) Peraturan Kepala Kepolisian Negara Republik Indonesia Nomor 6 Tahun 2019 tentang Penyidikan Tindak Pidana. Sebelumnya, Yayasan MBN juga menyatakan siap seandainya penyidik mengadakan pemeriksaan konfrontasi.",8 Mei 2025,16.30 WIB,Kriminal
