judul,isi,hari,tanggal,jam,kategori,link
"Akun Dibekukan Sepihak Tanpa Alasan Jelas, Mohon Kebijakan Shopee","Kami adalah agen Shopee Express drop off dengan nomor identitas Mitrawaw 1635 dan sudah bekerja sama selama dua tahun lebih. Selama ini kerjasama kami dengan Shopee Express berjalan dengan baik dan tidak ada kendala apapun.

Pada tanggal 19 November 2024, admin kami meproses paket kiriman dari pelanggan dengan cara scan paket tersebut, akan tetapi saat hendak akses website dari Shopee Express ternyata tidak bisa, tertulis user status disable data.

Hari itu juga kami dihubungi lewat telepon oleh Shopee Express yang menginformasikan bahwa akun kami diterminasi alias diberhentikan atau dinonaktifkan permanen. Kami sudah menanyakan kesalahan apa yang sudah kami perbuat karena dalam hal ini kami sudah berusaha dengan maksimal untuk mematuhi segala aturan yang diberlakukan oleh pihak Shopee Express.

SCROLL TO CONTINUE WITH CONTENT

Akan tetapi tidak bisa menemukan kesalahan kami, hanya diberitahu bahwa itu merupakan kebijakan dari Shopee Express pusat dengan alasan kebutuhan bisnis.

Kami sangat menyayangkan mengenai keputusan sepihak yang telah dilakukan oleh Shopee Express pusat, karena kami tidak pernah menerima surat teguran, surat peringatan baik lisan maupun tertulis dan secara sepihak tanpa konfirmasi melakukan penonaktifan akun kami langsung pada tanggal 19 November 2024.

Kami Memohon dengan sangat dan besar harapan kami untuk tetap bisa melanjutkan kerjasama dengan expedisi Shopee Express, apabila mungkin ada kesalahan kami yang tidak kami ketahui dan tidak kami sengaja, mohon ditunjukkan dan diberi arahan supaya kami tidak mengulangi lagi. Terima kasih.

Tonyfashionbintang@gmail.com

Keluhan diatas belum ditanggapi oleh pihak terkait",Kamis,28 Nov 2024,10:52 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7660778/akun-dibekukan-sepihak-tanpa-alasan-jelas-mohon-kebijakan-shopee
Keberatan Tingginya Denda Keterlambatan Bayar Kartu Kredit,"Saya adalah pengguna Bank Syariah Indonesia Hasanah Card. Saat ditawarkan oleh telemarketing dijelaskan bahwa tidak ada bunga ataupun denda keterlambatan pembayaran bulan November ini saya karena lupa terlambat tiga hari membayar,

Saat menerima tagihan untuk bulan Desember ternyata saya dikenakan denda yg sangat tinggi melebihi bank konvensional sebesar hampir 10% dari nilai tagihan bulanan saya istilah denda disamarkan mereka dengan menggunakan istilah monthly fee dan cash rebate.

Saya keberatan terhadap hal ini karena monthly fee yang tidak masuk akal mencapai Rp 525 ribu per bulan untuk kartu yang limit hanya Rp 30 juta dan tidak pernah dijelaskan terkait hal ini saat penawaran.

SCROLL TO CONTINUE WITH CONTENT

Namun BSI tetap bersikukuh bahwa sesuai prosedur bahwa karena saya terlambat tiga hari cash rebate saya hanya Rp 420 ribu atau denda Rp 105 ribu.

Apakah Bank Syariah memang diperbolehkan mengenakan denda keterlambatan apalagi dengan nilai yang sangat tinggi dan tidak menyampaikan dengan jelas saat penawaran kartu kreditnya Semoga jadi pembelajaran untuk masyarakat dalam bertransaksi dengan BSI Hasanah Card.

Sayid191341@gmail.com



Tonton juga video: Pria Jaksel Dibekuk di Bali Usai Beli Kartu Kredit Orang Lain Via Dark Web



[Gambas:Video 20detik]



Keluhan diatas belum ditanggapi oleh pihak terkait",Selasa,26 Nov 2024,10:51 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7657086/keberatan-tingginya-denda-keterlambatan-bayar-kartu-kredit
Satu Minggu Lebih Layanan BI Fast Bank Jatim Tak Dapat Diakses,"Saya adalah nasabah Bank Jatim yang aktif menggunakan JConnect untuk melakukan transaksi sehari-hari. Namun sudah lebih dari satu minggu layanan tersebut tidak dapat diakses.

Nasabah hanya bisa melakukan transfer online dengan limit Rp 25 juta dan biaya lebih, ini sangat merugikan nasabah. Adapun email pengaduan dan layanan sosial media Bank Jatim terkesan tidak responsif, kolom komentar di Instagram juga dibatasi.

Mohon tanggapan Bank Jatim, terima kasih.

SCROLL TO CONTINUE WITH CONTENT

Andriantoandreee.muhammad@gmail.comJawaban

Tanggapan Bank Jatim

Terima kasih atas saran dan kritik yang telah disampaikan kepada Suara Pembaca detikcom.

SCROLL TO CONTINUE WITH CONTENT

Sebelumnya kami mengucapkan mohon maaf atas ketidaknyamanan dalam bertransaksi. Saat ini, layanan BI-Fast masih dalam peningkatan kualitas dan jaringan. Kami upayakan layanan BI-Fast agar secepatnya dapat digunakan kembali.

Kami sarankan kepada nasabah agar dapat melakukan transfer menggunakan layanan transfer online pada aplikasi JConnect Mobile dan mesin ATM.

Bagi nasabah yang mengalami kendala terkait JConnect Mobile, dapat langsung menghubungi contact center bankjatim melalui 12044, WhatsApp PRITA (virtual assistant bankjatim) di nomor 081132222505, Instagram @bankjatim, dan email melalui info@bankjatim.co.id.

Demikian dapat kami sampaikan. Atas perhatiannya disampaikan terima kasih. Untuk informasi lebih lanjut dapat menghubungi Sdr.Charin di nomor 0812-3225-4664.



Simak juga video: Cara Komdigi-OJK Berantas 10 Ribu Rekening Bank Terafiliasi Judi Online



[Gambas:Video 20detik]

",Kamis,21 Nov 2024,12:01 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7649390/satu-minggu-lebih-layanan-bi-fast-bank-jatim-tak-dapat-diakses
Kecewa Fitur Simpan Uang di Aplikasi Dana,"Saya adalah pelanggan Dana sejak tahun 2020 yang merasa kecewa dengan fitur simpan uang di aplikasi Dana saat ini. Awalnya, fitur ini sangat membantu saya dalam mengelola keuangan dengan aman dan praktis.

Namun dalam beberapa minggu terakhir, saya mengalami sejumlah kendala yang cukup mengganggu. Proses penyimpanan dan penarikan uang kerap mengalami kendala, beberapa kali saldo yang saya setorkan tidak langsung tercatat di aplikasi, sehingga saya terpaksa menunggu berjam-jam, bahkan hingga satu hari penuh.

Padahal dana tersebut sangat dibutuhkan untuk keperluan mendesak. Kedua, pada tanggal 5 November 2024, uang yang saya simpan hilang ditarik oleh website ilegal.

SCROLL TO CONTINUE WITH CONTENT

Saya sudah melaporkan kejadian ini di Aplikasi Dana, tetapi tidak ada tindak lanjut. Saya mengharapkan pihak Dana dapat segera melakukan perbaikan pada sistem dan meningkatkan mutu layanannya, khusus fitur yang berkaitan dengan penyimpanan dana. Terima kasih.

Nabilanabilafrkh12@gmail.com



Simak juga video: Gausah FOMO, Hemat Uang Pakai Cara Ini!



[Gambas:Video 20detik]



Keluhan diatas belum ditanggapi oleh pihak terkait",Kamis,21 Nov 2024,11:55 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7649373/kecewa-fitur-simpan-uang-di-aplikasi-dana
"Berlangganan 100 Mbps, Kecepatan Internet MyRepublic di Bawah 20 Mbps","(SOLVED)



Pada tanggal 03 November 2024, saya berlangganan MyRepublic Paket Internet Nova 100 Mbps melalui salah satu Sales yang berkunjung ke rumah. Tanggal 04 November dilakukan pemasangan oleh Teknisi MyRepublic dan status berlangganan aktif dengan Nomor Registrasi: 2024110300976 dan Nomor Pelanggan: C2616325.

SCROLL TO CONTINUE WITH CONTENT

Tetapi pada hari yang sama berbagai masalah muncul. Awalnya kecepatan internet tidak sesuai dengan yang dijanjikan, yaitu hanya mencapai 20 Mbps, apalagi ketika mengakses situs-situs dari luar negeri. Sore harinya jaringan Wifi hilang total dan tidak muncul.

Saya hubungi MyRepublic melalui email dengan nomor laporan 9236304 dan tanggal 05 November 2024, teknisi datang mengganti modem. Masalah Jaringan Wifi hilang sudah terselesaikan, namun kecepatan internet saya masih di bawah 20 Mbps.

Setela meelaporkan lagi, dibutkan nomor laporan baru 9249007. Sales MyRepublic menyarankan untuk melakukan penambahan Paket Add-On IP Public Static V4 agar kecepatan internet ke luar negeri bisa normal.

Tanggal 07 November 2024, saya menghubungi MyRepublic melalui telepon untuk penambahan IP Public Static V4 agar segera aktif bulan ini dan setuju dengan biaya prorata yang dibebankan pada bulan berikutnya.

Namun sampai sekarang belum teratasi dan IP Public Static V4 belum diaktifkan. Saya sudah berkali-kali menanyakan baik melalui email maupun Whatsapp, hanya mendapatkan jawaban secepatnya.

Saya harap Pihak MyRepublic dapat bekerja dengan profesional dalam melayani konsumen dengan menyelesaikan masalah kecepatan internet dan mengaktifkan IP Public Static V4 segera. Terima kasih.

MahdalenaNomor Pelanggan: C2616325Jawaban

Tanggapan MyRepublic

Menanggapi Suara Pembaca Ibu Mahdalena, kami menyampaikan permohonan maaf atas ketidaknyamanan yang dirasakan oleh Ibu Mahdalena terhadap layanan MyRepublic. MyRepublic sudah melakukan perbaikan layanan internet pelanggan. Permintaan IP Public juga sudah ditambahkan effective per hari ini. Tim layanan pelanggan MyRepublic juga telah terhubung dengan pelanggan dan mengkomunikasikan informasi ini kepada pelanggan.

SCROLL TO CONTINUE WITH CONTENT

Kami selalu berkomitmen untuk menindaklanjuti setiap laporan pelanggan dengan segera melakukan tindakan perbaikan agar layanan dapat kembali normal.

Demikian informasi yang dapat kami sampaikan, atas perhatian dan kepercayaannya kepada MyRepublic kami mengucapkan terima kasih.

MyRepublic





Saksikan juga video: Cara Andika Dongkrak Ekonomi Kreatif Pedesaan: Siapkan Internet-SDM



[Gambas:Video 20detik]

",Kamis,14 Nov 2024,15:40 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7638452/berlangganan-100-mbps-kecepatan-internet-myrepublic-di-bawah-20-mbps
"3 Bulan Pemakaian Alami Kerusakan, Kecewa Garansi Produk Ace Hardware","(SOLVED)



Saya melakukan pembelian produk elektronik insect killer merek Krisbow di Ace Hardware Graha Raya pada 02 Agustus 2024dengan garansi produk selama enam bulan.

SCROLL TO CONTINUE WITH CONTENT

Produk terserusak mengalami kerusakan tanggal 20 Oktober 2024 dan saya klaim garansi di Ace Hardware Graha Raya esok harinya. Tanggal 6 November 2024, saya mendapatkan pesan Whatsapp dari service center ACE Hardware Bintaro bahwa sparepart discontinue dan hanya ditawarkan solusi berupa voucher discount thrade in 20% untuk pembelian produk sejenis dan unit rusak dikembalikan.

Saya berharap mendapatkan penggantian unit baru karena masih dalam masa garansi, bukan voucher 20% untuk membeli produk sejenis. Jika hanya diganti 20% maka kerugian saya 80% karena membeli produk ini. Terima kasih.

Riyadiadikurniawan1604@gmail.comJawaban

Tanggapan Surat Pembaca

Sebelumnya, kami ucapkan terima kasih karena telah menjadi pelanggan setia ACE Indonesia. Menanggapi keluhan Bapak Riyadi yang dimuat dalam rubrik Suara Pembaca detik.com pada tanggal 14 November 2024 dengan judul ""3 Bulan Pemakaian Alami Kerusakan, Kecewa Garansi Produk Ace Hardware"", bersama ini kami menyampaikan permintaan maaf atas ketidaknyamanan yang terjadi.

SCROLL TO CONTINUE WITH CONTENT

Pihak ACE Indonesia juga telah menghubungi Bapak Riyadi pada tanggal 15 November 2024 untuk menindaklanjuti keluhan ini, dan permasalahan yang terjadi telah diselesaikan dengan baik. Kami menghargai saran yang diberikan dan menjadikannya sebagai catatan kami untuk bahan evaluasi ke depannya. ACE Indonesia akan dan terus melakukan perbaikan agar dapatmemberikan layanan prima kepada seluruh pelanggan setia ACE Indonesia.

Apabila terdapat pertanyaan ataupun saran lainnya untuk ACE Indonesia, silakan menghubungi Customer Care kami melalui layanan ASK ACE Indonesia di 1500582, chat melalui WhatsApp ASK ACE Indonesia 08551500582 atau email ke ask_ace@ahi.id, setiap Senin sampai Minggu mulai pukul 09.00 - 22.00 WIB.

Demikian kami sampaikan, terima kasih atas perhatian dan kerja samanya.

Elen DianaCustomer Care ManagerPT Aspirasi Hidup Indonesia Tbk





Saksikan juga video: Menko PMK Minta Menkes Utamakan Beli Produk Kesehatan Buatan RI



[Gambas:Video 20detik]

",Kamis,14 Nov 2024,15:31 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7638429/3-bulan-pemakaian-alami-kerusakan-kecewa-garansi-produk-ace-hardware
Ingin Berlangganan FirstMedia Dipersulit,"(SOLVED)



Pada akhir Agustus 2024 saya membeli properti yang saat itu ada penghuni sebagai pengontrak, bukan pemilik rumah. Beberapa bulan kemudian setelah transaksi rumah selesai saya ingin berlangganan FirstMedia.

SCROLL TO CONTINUE WITH CONTENT

Saya terhubung dengan sales Firstmedia, diinformasikan alamat rumah saya yang baru ini ada tagihan terutang dengan status masih aktif, jadi ada syarat tambahan yang diperlukan berupa bukti kepemilikan rumah (Sertifikat atau AJB pilih salah satu, dan saya pilih untuk melampirkan sertipikat yang otomatis bukti kepemilikannya lebih kuat dari AJB).

Saya berikan semua data pribadi saya berupa foto KTP, KK dan Sertifikat Rumah Elektronik yang sudah balik nama atas nama saya. Selanjutnya sales mengatakan harus ada data tambahan lagi berupa AJB dengan alasan di sertifikat tidak tertulis alamat (perlu diketahui yang namanya sertifikat elektronik tidak ada alamat lengkapnya, yang ada nama pemegang hak dan nomer NIB).

Dari sini saja saya sudah merasa dipersulit mau pasang internet seperti mau berhutang uang banyak ke bank. Tolong Firstmedia jangan mempersulit jika ingin berlangganan baru, saya sudah kirim semua data pribadi saya tapi malah diminta data tambahan lagi.

Saya sebenarnya sudah keberatan kalau diminta data pribadi tambahan lain seperti AJB dan surat domisili yang padahal dari awal hanya diminta salah satunya saja dan saya lampirkan foto sertifikat rumah yang sudah balik nama atas nama saya.

Adamflazznetworks@gmail.comJawaban

Tanggapan FirstMedia

Berikut tanggapan kami atas keluhan Bapak Adam Nur Fauzan melalui detik.com, 5 November 2024, berjudul ""Ingin Berlangganan FirstMedia Dipersulit"". Kami telah menghubungi beliau untuk konfirmasi keluhan yang dialami. Tidak lupa, kami sampaikan permohonan maaf atas kendala yang dialami.

SCROLL TO CONTINUE WITH CONTENT

Saat ini kami sudah menindaklanjuti terkait proses pendaftaran layanan First Media dan memberikan solusi guna mencapai kesepakatan bersama. Beliau telah menerima penjelasan yang kami sampaikan. Dengan demikian, keluhan Bapak Adam Nur Fauzan telah terselesaikan dengan baik.

Demikian tanggapan kami. Untuk informasi mengenai layanan XL Axiata, silakan menghubungi 817, 818, 021 57959817/08170817707 dari telepon lainnya, mengunjungi XL Center terdekat, e-mail ke CustomerService@XL.co.id, atau Live Chat melalui aplikasi MyXL.

Atas perhatiannya, kami ucapkan terimakasih.

Reza MirzaGroup Head Corporate Communications & Sustainability XL Axiata",Selasa,05 Nov 2024,17:46 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7623850/ingin-berlangganan-firstmedia-dipersulit
"Sudah Enam Bulan, STNK Mobil MG Belum Diterima","Saya adalah pembeli mobil MG (Moris Garage) dengan tipe MG VS HEV yang sudah menerima pengiriman unit kendaraan pada tanggal 12 Mei 2024. Pembelian di dealer resmi MG Mimosa Jemur Sari, Surabaya, Jawa timur.

Yang ingin saya tanyakan adalah, sampai saat ini STNK kendaraan belum saya terima, padahal sudah memasuki bulan ke-6 sejak mobil diterima. Untuk kelengkapan kendaraan juga belum terima yaitu Buku Garansi dan Buku Service.

Seharusnya buku Service dan buku garansi diserahkan berbarengan dengan saat mobil diterima. Sudah saya tanyakan ke pihak dealer, diinformasikan ada kendala ATPM dengan pihak dinas pemerintah terkait dokumen untuk pengurusan surat surat.

SCROLL TO CONTINUE WITH CONTENT

Saya menuntut pertanggungjawaban pihak ATPM untuk segera memberikan solusi terhadap permasalahan saya. Terima kasih.

Andreyandreyca0712@gmail.com

Keluhan diatas belum ditanggapi oleh pihak terkait",Rabu,30 Okt 2024,10:32 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7613313/sudah-enam-bulan-stnk-mobil-mg-belum-diterima
"Downgrade Disetujui, Masih Dikenakan Admin Nasabah Preferred CIMB","(SOLVED)



Saya adalah nasabah bank CIMB Niaga yang sebelumnya adalah nasabah Preferred Account sejak pindahan dari Lippo Bank. Pada tanggal 15 bulan Juni dan Juli 2024, rekening saya dikenakan biaya admin Preferred Account sebesar Rp 250 ribu setiap bulan karena total portfolio dibawah saldo minimum untuk menjadi Preferred Account.

SCROLL TO CONTINUE WITH CONTENT

Tanggal 1 Agustus 2024, saya ke CIMB Niaga cabang Bintaro untuk downgrade status menjadi non-preferred supaya sejak bulan Agustus 2024 tidak dikenakan biaya admin lagi. Saya bertanya untuk memastikan status nasabahnya apakah sudah berubah menjadi non-preferred hari itu juga.

Disampaikan bahwa status tidak bisa diubah oleh customer service dan akan dihubungi lagi oleh Relationship Manager (RM), tetapi sudah diberi catatan supaya biaya admin preferred tidak akan dikenakan lagi.

Ttanggal 2 Agustus 2024, saya dihubungi Relationship Manager yang meminta menambah saldo supaya tetap menjadi preferred account. Saya menolak karena saya tidak melihat produk yang menarik dan harus menunggu lama setiap kali ke cabang CIMB Niaga.

Tanggal 12 Agustus 2024, saya menerima statement dengan status masih nasabah preferred. Esok harinya saya Whatsapp Relationship Manager untuk menegaskan tidak mau dikenakan biaya di Agustus ini yang disebabkan proses CIMB Niaga yang lambat.

Tanggal 15 Agustus 2024, saya tetap dikenakan biaya admin sehingga saya menghubungi Relationship Manager lagi dan dijanjikan akan proses refund.

Erlinavinosteven77@gmail.comJawaban

Tanggapan CIMB Niaga

Sehubungan dengan surat Ibu Erlina yang berjudul ""Downgrade Disetujui, Masih Dikenakan Admin Nasabah Preferred CIMB"" (Detik.com, 24 Oktober 2024), dengan ini kami sampaikan permohonan maaf atas ketidaknyamanan yang dialami Ibu Erlina.

SCROLL TO CONTINUE WITH CONTENT

Sebagai tindak lanjut dari keluhan tersebut, kami telah menghubungi Ibu Erlina untuk menjelaskan dan menyelesaikan permasalahan yang terjadi.

Dapat kami sampaikan juga bahwa untuk masukan dan keluhan atas pelayanan CIMB Niaga dapat menghubungi Layanan CIMB Niaga 14041 atau melalui email: 14041@cimbniaga.co.id.

Demikian kami sampaikan. Atas kerja sama dan dimuatnya tanggapan ini, kami ucapkan terima kasih.



Hery KurniawanCorporate Communications HeadPT Bank CIMB Niaga Tbk",Kamis,24 Okt 2024,14:26 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7604377/downgrade-disetujui-masih-dikenakan-admin-nasabah-preferred-cimb
"Sudah Sebulan Internet Mati, Penanganan MNC Play Mengecewakan","Saya pelanggan MNC Play dengan lokasi rumah di Perumahan Dirgantara, Sawojajar, Kota Malang. Tanggal 23 September 2024 internet di rumah saya mati. Kemudian saya laporkan ke pelayanan MNC.

Sore harinya ada dua orang teknisi yang memeriksa dan menyatakan kerusakan bukan pada perangkat di rumah saya, tapi di boks yang menuju rumah dan akan ada tim lain yang akan memperbaiki.

Setelah menunggu, saya mendapat kabar bahwa tim tidak bisa memperbaiki karena terkendala masalah perizinan dari RW di tempat kami. Dalam upaya membantu MNC, saya coba mencari informasi ke RW, ternyata MNC tidak mau memperbaharui perjanjian dengan RW setempat. Sedangkan provider lain bersedia.

SCROLL TO CONTINUE WITH CONTENT

Karena itulah maka MNC tidak mendapat kemudahan dalam beroperasi di RW kami. Hal ini sudah saya sampaikan lewat chat Whatsapp ke MNC. Hampir setiap hari kami tanyakan, tetapi jawaban yang saya terima selalu sama ""Sedang dilkoordinasikan""

Tanggal 15 Oktober 2024, saya meminta langganan saya dibatalkan atau diputus saja. Karena saya sudah bayar paket satu tahun sejak Agustus 2024 maka saya juga minta refund dana.

Esok harinya saya ditelepon lagi bahwa laporan penghentian langganan dan permintaan refund tidak bisa dipenuhi dengan berbagai alasan. Tetapi tetap tidak memberi solusi dan kejelasan kapan internet di rumah saya akan kembali normal.

Aunur08123458664

Keluhan diatas belum ditanggapi oleh pihak terkait",Kamis,24 Okt 2024,11:19 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7603984/sudah-sebulan-internet-mati-penanganan-mnc-play-mengecewakan
"Masih Pantulkan Cahaya Saat Foto, Kecewa Tanggapan Optik Melawai","Saya membuat kacamata dan lensa di Optik Melawai Kota Kasablanka di tanggal 6 Juli 2024. Pada saat membuat kacamata, saya secara eksplisit bertanya kepada staf Optik Melawai apakah kacamata tersebut akan bisa memantulkan cahaya ketika difoto dan yang bersangkutan menjawab semua lensa di Optik Melawai tidak memantulkan cahaya.

Berdasarkan informasi tersebut, maka saya pun setuju untuk membuat kacamata dan lensa. Setelah kacamata jadi, ternyata kacamata tersebut memantulkan cahaya ketika foto. Saya mengajukan keluhan ke Optik Melawai dan oleh pihak optik, kacamata akan dikirim ke laboratorium untuk dilakukan perbaikan.

Setelah dilakukan perbaikan, beberapa minggu kemudian, saya foto bersama beberapa rekan saya di photobox dan terlihat jelas sekali bahwa kacamata saya masih memantulkan cahaya. Bahkan cahaya yang dipantulkan sangat terang apabila dibandingkan dengan dengan kacamata rekan saya yang lainnya.

SCROLL TO CONTINUE WITH CONTENT

Saya sangat kecewa terhadap hal tersebut dan kembali mengajukan keluhan ke Optik Melawai untuk mengembalikan uang saya karena Optik Melawai menjual barang yang tidak sesuai dengan janji awalnya yaitu tidak memantulkan cahaya. Apabila dari awal staf Optik Melawai menyampaikan bahwa mereka tidak dapat memastikan apakah kacamata tersebut akan memantulkan cahaya atau tidak, tentu saya tidak akan membuat kacamata tersebut.

Tidak ada solusi berarti dari Optik selain dia mau berusaha untuk memperbaiki kacamata itu lagi. Saya tidak mau untuk dilakukan perbaikan lagi karena hal tersebut sudah pernah dilakukan dan tidak menghasilkan apapun.

Galihfubuki_cute@msn.com

Keluhan diatas belum ditanggapi oleh pihak terkait",Rabu,23 Okt 2024,11:46 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7602230/masih-pantulkan-cahaya-saat-foto-kecewa-tanggapan-optik-melawai
Sulitnya Hapus Data Registrasi Aplikasi Dana,"Saya ingin medaftar akun Dana (PT Espay Debit Indonesia Koe) dengan nomor saya, namun nomor tersebut sudah terdaftar dan meminta pin. Saya klik coba lupa pin dan berhasil masuk dengan status akun premier atas nama orang lain.

Mungkin karena nomor saya termasuk nomor recycle yang mungkin pernah digunakan oleh pemilik sebelumnya. Sebagai catatan, saya membeli nomor tersebut pada bulan Februari 2025 di website XL Prioritas.

Oleh karena itu Saya ingin mengajukan penghapusan akun DANA dengan nomor tersebut, namun sangat sulit. Saya sudah menghubungi Dana melalui chat, namun tidak bisa tersambung dengan customer service.

SCROLL TO CONTINUE WITH CONTENT

Saya juga sudah menghubungi melalui telepon di nomor 1500 445, tidak ada solusi hanya disarankan penghapusan, diabaikan atau ganti nomor. Saya anggap ini bukan solusi karena saya tidak mungkin ganti nomor lagi. Setelah itu saya komplain melalui APPK OJK yang ternyata Dana belum terdaftar di List OJK maupun Bank Indonesia.

Saya sudah mencoba berkali kali mencoba melakukan penghapusan melalui aplikasi sesuai yang disarankan, tetapi tidak bisa.

Idacahkediri002@gmail.com

Keluhan diatas belum ditanggapi oleh pihak terkait",Jumat,23 Mei  2025,15:32 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7928775/sulitnya-hapus-data-registrasi-aplikasi-dana
"Penawaran investasi PT Rifan Berjangka Tak Sesuai, Nasabah Merugi","Saya adalah nasabah komoditas berjangka dari PT. Rifan Financindo Berjangka yang tertarik oleh penawaran marketing dengan paket investasi trading emas senilai modal awal Rp 100 juta bisa profit. Namun saya berakhir merugi hingga total Rp 200 juta hanya dalam tujuh hari transaksi atau trading akibat kesalahan analis PT Rifan.

Sesuai perjanjian awal saya diharuskan melakukan transaksi sesuai petunjuk analis PT. Rifan agar mendapatkan profit yang dijanjikan.

Sangat jelas ada ketidakprofesionalan tim PT Rifan, yaitu kesalahan penawaran yang tidak sesuai dengan actual volatilitas pasar, strategi yang salah untuk investasi Rp 100 juta disamakan dengan investor Rp 1 milyar dengan metode locking (dragging) bukan cut loss, membuka posisi lot yang sangat aggressive dan banyak, yang berujung pada nasabah ditekan dan dibuat panik dan harus top up dana adalah solusinya.

SCROLL TO CONTINUE WITH CONTENT

Pada akhirnya nasabah merugi akibat kesalahan tim PT Rifan tetapi tidak bertanggung jawab dan menyebutkan kerugian karena kesalahan nasabah. Dalam hal ini saya meminta investigasi internal tapi tidak direspons.

Harryharry.januarta@gmail.com

Keluhan diatas belum ditanggapi oleh pihak terkait",Jumat,23 Mei  2025,15:15 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7928735/penawaran-investasi-pt-rifan-berjangka-tak-sesuai-nasabah-merugi
"Dilindungi Asuransi, Dua Bulan Lebih Perbaikan Ioniq 5 Belum Selesai","Pada Oktober 2024, saya membeli mobil Ioniq 5 di dealer Hyundai Summarecon Bekasi. Dibantu oleh staff penjualan, mobil dibeli secara kredit dengan asuransi all risk perluasan banjir dan huru hara dari Asuransi Total Bersama.

Awal Maret 2025, mobil terendam banjir bandang yang melanda Jabodetabek. Mobil diderek menuju Bengkel Hyundai Harapan Indah, komunikasi melalui chat aplikasi whatsapp dan telepon. Menjelang akhir bulan Maret, menjelang libur Idul Fitri, diinformasikan bahwa mobil baru sampai pada tahap sudah dibersihkan dari kotoran bekas banjir.

Pada pertengahan April 2025, saya menghubungi call center Hyundai dan mendapat jawaban ""Selamat siang, ibu. Saya mendapat informasi mengenai adanya laporan komplain mengenai unit ibu. untuk estimasi tambahan mengenai sensor yang menyala dan mengenai baterai sudah saya tangani bersama pihak asuransi mengenai hal tersebut. Untuk penyelesaian pengerjaan kendaraan, kami tidak bisa terburu-buru karena banyak kemungkinan yang terjadi pada unit dengan terendam banjir. Sampai saat ini masih ada indikasi jika baterai juga bisa terjadi masalah, karena unit tidak bisa di start jalan, hanya nyala pada clusternya. terima kasih"".

SCROLL TO CONTINUE WITH CONTENT

Rabu 16 April, diberitahukan bahwa perbaikan mobil dipindah ke Hyundai Kalimalang. Tanggal 21 April dikabarkan bahwa bermasalah dengan persetujuan Asuransi TOB. Kabar baik mengenai persetujuan Asuransi baru datang padang 30 April. Nilai cover asuransi hampir menyentuh angka Rp 90 juta.

Tanggal 09 Mei 2025, diinformasikan bahwa parts sensor dan modul masih belum datang. Tanggal 14 Mei 2025, dikatakan bahwa dari 18 part yang dibutuhkan, yang tersedia baru dua. Hampir tiga bulan mobil tidak bisa digunakan dan saya tetap membayar angsuran setiap bulan. Mohon tanggapan Hyundai agar segera menyelesaikan perbaikan mobil saya, terima kasih.

Nisananisaindra@gmail.com

Keluhan diatas belum ditanggapi oleh pihak terkait",Jumat,23 Mei  2025,14:33 WIB,detikNewsSuara Pembaca,https://news.detik.com/suara-pembaca/d-7928621/dilindungi-asuransi-dua-bulan-lebih-perbaikan-ioniq-5-belum-selesai
